index,报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
0,2025-09-30,,81.93亿,1949.85亿,1895.69亿,78.23亿,68.91亿,,1949.85亿,1949.85亿,1895.69亿,1606.39亿,29.19亿,60.97亿,48.82亿,141.52亿,3.11亿,7.60亿,7.76亿,3.63亿,2.07亿,1.84亿,6.64亿,1.05亿,2887.10万,38.95亿,101.86亿,2.61亿,,6.97亿,,97.50亿,15.57亿,81.93亿,81.93亿,78.23亿,3.70亿,68.91亿,,0.85,0.85,12.16亿,12.29亿,94.09亿,90.52亿,3.57亿
1,2025-06-30,,65.96亿,2009.20亿,1973.31亿,63.56亿,54.28亿,,2009.20亿,2009.20亿,1973.31亿,1682.40亿,27.23亿,62.30亿,54.80亿,153.73亿,-13.39亿,3.71亿,5.04亿,5.44亿,7915.40万,1.27亿,6.79亿,2.77亿,-2057.50万,33.24亿,76.99亿,2.19亿,,1.99亿,,77.19亿,11.23亿,65.96亿,65.96亿,63.56亿,2.40亿,54.28亿,,-1.41,-1.41,10.98亿,10.94亿,76.94亿,74.49亿,2.45亿
2,2025-03-31,,94.43亿,1703.60亿,1635.84亿,91.55亿,81.72亿,,1703.60亿,1703.60亿,1635.84亿,1361.75亿,32.73亿,61.81亿,49.06亿,142.23亿,-19.08亿,6.01亿,5.74亿,7.10亿,2369.40万,2.46亿,6.97亿,3.77亿,294.20万,32.98亿,110.21亿,5.86亿,False,4.16亿,False,111.91亿,17.48亿,94.43亿,94.43亿,91.55亿,2.88亿,81.72亿,,3.12,3.12,-2.42亿,-2.43亿,92.01亿,89.12亿,2.89亿
3,2024-12-31,,153.40亿,2748.51亿,2615.90亿,150.16亿,137.91亿,,2748.51亿,2748.51亿,2615.90亿,2208.15亿,53.54亿,74.43亿,62.35亿,198.76亿,1.89亿,4.22亿,7.42亿,13.72亿,3.07亿,1.36亿,4.32亿,1.18亿,-8902.10万,49.99亿,187.39亿,5.19亿,,8.97亿,,183.61亿,30.21亿,153.40亿,153.40亿,150.16亿,3.24亿,137.91亿,,10.95,10.95,8.93亿,8.78亿,162.33亿,158.94亿,3.39亿
4,2024-09-30,,121.34亿,2011.25亿,1915.98亿,116.07亿,108.77亿,,2011.25亿,2011.25亿,1915.98亿,1606.55亿,41.05亿,60.42亿,47.15亿,136.98亿,9.58亿,5.55亿,5.49亿,9.68亿,4.57亿,4817.00万,6.50亿,4.38亿,-2909.70万,42.28亿,144.23亿,2.56亿,,5.88亿,,140.91亿,19.57亿,121.34亿,121.34亿,116.07亿,5.27亿,108.77亿,,1.33,1.33,4.62亿,4.74亿,125.97亿,120.81亿,5.16亿
5,2024-06-30,,93.42亿,1761.82亿,1684.74亿,90.62亿,85.63亿,,1761.82亿,1761.82亿,1684.74亿,1455.03亿,31.53亿,52.67亿,39.26亿,90.10亿,2.63亿,5.36亿,5.97亿,8.88亿,4.63亿,2.05亿,5.87亿,4.57亿,-411.60万,30.28亿,115.25亿,2.29亿,,2.43亿,,115.11亿,21.68亿,93.42亿,93.42亿,90.62亿,2.80亿,85.63亿,,-0.0100,-0.0100,-8654.00万,-8974.00万,92.56亿,89.73亿,2.83亿
6,2024-03-31,,47.71亿,1249.44亿,1217.03亿,45.69亿,37.52亿,,1249.44亿,1249.44亿,1217.03亿,990.74亿,21.41亿,53.33亿,37.69亿,106.11亿,-1.94亿,5.80亿,5.95亿,6.43亿,3.26亿,1.43亿,6.22亿,4.57亿,-429.30万,17.96亿,57.98亿,2.47亿,False,3.29亿,False,57.17亿,9.46亿,47.71亿,47.71亿,45.69亿,2.02亿,37.52亿,,1.57,1.57,-4.25亿,-4.26亿,43.45亿,41.43亿,2.02亿
7,2023-12-31,,90.18亿,1800.41亿,1716.26亿,86.74亿,91.14亿,,1800.41亿,1800.41亿,1716.26亿,1516.72亿,28.54亿,-18.56亿,31.82亿,146.37亿,-2.03亿,4.81亿,9.48亿,7.83亿,5.58亿,-911.90万,6.60亿,3.17亿,-3280.50万,24.34亿,114.66亿,2.22亿,,4.85亿,,112.03亿,21.86亿,90.18亿,90.18亿,86.74亿,3.44亿,91.14亿,,2.97,2.97,1.19亿,1.19亿,91.37亿,87.93亿,3.44亿
8,2023-09-30,,108.87亿,1621.51亿,1508.19亿,104.13亿,96.54亿,,1621.51亿,1621.51亿,1508.19亿,1262.75亿,28.47亿,63.89亿,34.62亿,111.04亿,-1.69亿,3.69亿,6.81亿,5.00亿,4.11亿,1.80亿,3.84亿,3.62亿,4739.50万,9.62亿,129.06亿,1.83亿,,4.23亿,,126.65亿,17.79亿,108.87亿,108.87亿,104.13亿,4.74亿,96.54亿,,3.58,3.58,-3.86亿,-3.85亿,105.01亿,100.28亿,4.73亿
9,2023-06-30,,70.70亿,1399.51亿,1330.73亿,68.24亿,61.30亿,,1399.51亿,1399.51亿,1330.73亿,1137.45亿,24.04亿,61.90亿,34.53亿,75.97亿,-11.09亿,6.70亿,6.28亿,4.13亿,3.81亿,623.70万,3.45亿,3.83亿,3375.20万,11.70亿,84.33亿,1.64亿,,4.14亿,,81.83亿,11.13亿,70.70亿,70.70亿,68.24亿,2.46亿,61.30亿,,2.35,2.35,3.72亿,3.70亿,74.42亿,71.94亿,2.48亿
10,2023-03-31,,43.70亿,1201.74亿,1159.31亿,41.30亿,35.65亿,,1201.74亿,1201.74亿,1159.31亿,987.07亿,22.45亿,46.48亿,33.66亿,62.38亿,591.00万,3.07亿,5.40亿,4.92亿,2.30亿,8065.90万,2.45亿,2.15亿,4202.20万,6.88亿,52.99亿,1.42亿,False,2.23亿,False,52.17亿,8.47亿,43.70亿,43.70亿,41.30亿,2.40亿,35.65亿,,1.42,1.42,7837.20万,7180.50万,44.48亿,42.02亿,2.46亿
11,2022-12-31,,77.25亿,1563.73亿,1472.11亿,73.11亿,72.73亿,,1563.73亿,1563.73亿,1472.11亿,1266.69亿,28.05亿,57.05亿,35.98亿,77.84亿,-2.78亿,2.84亿,5.63亿,4.88亿,4.41亿,1.74亿,-4.60亿,-3.12亿,1073.00万,5.70亿,94.56亿,2.37亿,,7.33亿,,89.61亿,12.36亿,77.25亿,77.25亿,73.11亿,4.14亿,72.73亿,,2.51,2.51,7.62亿,7.67亿,84.87亿,80.78亿,4.09亿
