index,股东户数统计截止日,区间涨跌幅,股东户数-本次,股东户数-上次,股东户数-增减,股东户数-增减比例,户均持股市值,户均持股数量,总市值,总股本,股本变动,股本变动原因,股东户数公告日期,代码,名称
0,2013-03-18,8.99262899,30896,34910,-4014,-11.498138069321,1120629.85499741,50524.3397203522,34622980000.0,1561000000,0,,2013-03-25,002594,比亚迪
1,2013-03-31,-0.49594229,31270,30896,374,1.210512687727,1101735.52926127,49920.051167253,34451270000.0,1561000000,0,,2013-04-26,002594,比亚迪
2,2013-09-30,78.34164024,35531,31270,4261,13.626479053406,1729221.24342124,43933.4665503363,61440960000.0,1561000000,0,,2013-10-30,002594,比亚迪
3,2013-12-31,-4.26829268,30398,35531,-5133,-14.44653964144,1934945.72011317,51352.0626356997,58818480000.0,1561000000,0,,2014-03-20,002594,比亚迪
4,2014-03-13,39.30467091,28644,30398,-1754,-5.77011645503,2860525.41544477,54496.5786901271,81936890000.0,1561000000,0,,2014-03-20,002594,比亚迪
5,2014-03-31,-8.34444656,28829,28644,185,0.645859516827,2605005.72340352,54146.8660029831,75099710000.0,1561000000,0,,2014-04-25,002594,比亚迪
6,2014-06-30,-1.28871337,28222,28829,-607,-2.105518748482,2626741.19481256,55311.4591453476,74131890000.0,1561000000,0,,2014-08-25,002594,比亚迪
7,2014-09-30,2.92139602,31898,28222,3676,13.025299411806,2389605.3044078,48937.2374443539,76223630000.0,1561000000,0,,2014-10-30,002594,比亚迪
8,2014-12-31,-21.87180012,63145,31898,31247,97.959119694025,943101.591574947,24720.8805131048,59552150000.0,1561000000,0,,2015-03-30,002594,比亚迪
9,2015-03-23,39.21363041,54308,63145,-8837,-13.994773933011,1526565.33107461,28743.4632098402,82904710000.0,1561000000,0,,2015-03-30,002594,比亚迪
10,2015-03-31,-1.33684805,54516,54308,208,0.383000662886,1500410.88854648,28633.7955829481,81796400000.0,1561000000,0,,2015-04-28,002594,比亚迪
11,2015-06-30,5.40076336,64255,54516,9739,17.864480152616,1341748.19080227,24293.8292739865,86214030000.0,1561000000,0,,2015-08-27,002594,比亚迪
12,2015-09-30,8.65471664,53767,64255,-10488,-16.322465177807,1742251.00898321,29032.678036714,93675610000.0,1561000000,0,,2015-10-30,002594,比亚迪
13,2015-12-31,7.31544743,78226,53767,24459,45.490728513772,1285102.13995347,19955.0021731905,100528400000.0,1561000000,0,,2016-03-29,002594,比亚迪
14,2016-03-31,-8.68012422,69406,78226,-8820,-11.275023649426,1322686.94349192,22490.8509350777,91802410000.0,1561000000,0,,2016-04-29,002594,比亚迪
