index,名次,股东名称,股东性质,股份类型,持股数,占总流通股本持股比例,增减,变动比率
0,1,HKSCC NOMINEES LIMITED,其它,H股,1227261708,51.345266084698,129801909,11.82748645
1,2,融捷投资控股集团有限公司,投资公司,A股,155149602,6.491034101119,不变,
2,3,王传福,个人,A股,128405963,5.372153546485,不变,
3,4,香港中央结算有限公司,其它,A股,125417624,5.247129633405,29474948,30.72141536
4,5,吕向阳,个人,A股,59807155,2.502167440919,不变,
5,6,夏佐全,个人,A股,20658902,0.864311836093,不变,
6,7,王念强,个人,A股,18299740,0.765610964194,不变,
7,8,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,证券投资基金,A股,14785435,0.618582075285,-782547,-5.02664379
8,9,中央汇金资产管理有限责任公司,其它,A股,11976633,0.501069498197,不变,
9,10,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,证券投资基金,A股,10355139,0.433230633559,新进,
