index,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-09-05,002594,250.0,252.85,255.6,249.6,100126,2542189362.96,2.4,1.01,2.53,0.86
1,2024-09-06,002594,252.86,251.6,255.1,251.42,78142,1982245013.05,1.46,-0.49,-1.25,0.67
2,2024-09-09,002594,249.48,249.98,253.96,248.58,70851,1774845243.84,2.14,-0.64,-1.62,0.61
3,2024-09-10,002594,250.0,249.65,252.8,248.62,61248,1533462723.87,1.67,-0.13,-0.33,0.53
4,2024-09-11,002594,250.0,258.1,260.6,249.44,155361,4001603969.48,4.47,3.38,8.45,1.34
5,2024-09-12,002594,258.7,257.01,260.0,257.0,77251,1995755898.51,1.16,-0.42,-1.09,0.66
6,2024-09-13,002594,257.2,254.99,258.0,254.85,56992,1458587905.76,1.23,-0.79,-2.02,0.49
7,2024-09-18,002594,255.02,258.43,259.33,254.1,66820,1715595537.64,2.05,1.35,3.44,0.57
8,2024-09-19,002594,259.01,255.36,259.38,253.3,91043,2326365318.9,2.35,-1.19,-3.07,0.78
9,2024-09-20,002594,255.38,256.1,258.8,252.88,89898,2292829764.93,2.32,0.29,0.74,0.77
10,2024-09-23,002594,255.95,250.0,256.96,248.79,107583,2712153559.79,3.19,-2.38,-6.1,0.93
11,2024-09-24,002594,253.0,254.29,255.5,246.76,156495,3949080823.05,3.5,1.72,4.29,1.35
12,2024-09-25,002594,258.0,262.8,269.66,257.66,205710,5442651982.01,4.72,3.35,8.51,1.77
13,2024-09-26,002594,264.0,269.61,269.7,262.1,149066,3960197853.87,2.89,2.59,6.81,1.28
14,2024-09-27,002594,273.0,283.99,291.99,271.5,309922,8683447958.42,7.6,5.33,14.38,2.67
15,2024-09-30,002594,290.0,307.31,308.08,290.0,388805,11640545413.1,6.37,8.21,23.32,3.34
16,2024-10-08,002594,338.04,327.38,338.04,307.31,443439,14484952068.34,10.0,6.53,20.07,3.81
17,2024-10-09,002594,315.0,305.69,320.71,300.5,325919,10166970123.49,6.17,-6.63,-21.69,2.8
18,2024-10-10,002594,310.0,315.89,322.0,309.98,250167,7918647495.83,3.93,3.34,10.2,2.15
19,2024-10-11,002594,314.02,300.05,314.02,296.01,186418,5671879376.72,5.7,-5.01,-15.84,1.6
20,2024-10-14,002594,300.99,307.0,309.98,300.2,172365,5268100404.73,3.26,2.32,6.95,1.48
21,2024-10-15,002594,305.5,298.0,308.38,298.0,122149,3695577335.23,3.38,-2.93,-9.0,1.05
22,2024-10-16,002594,293.0,289.79,295.98,287.0,150322,4362898826.78,3.01,-2.76,-8.21,1.29
23,2024-10-17,002594,292.51,289.42,297.85,289.12,102457,3005198739.74,3.01,-0.13,-0.37,0.88
24,2024-10-18,002594,289.45,300.3,306.2,288.08,191092,5674148204.69,6.26,3.76,10.88,1.64
25,2024-10-21,002594,303.0,306.45,308.6,300.9,157816,4819617233.25,2.56,2.05,6.15,1.36
26,2024-10-22,002594,305.0,304.75,310.12,303.0,103733,3174859558.84,2.32,-0.55,-1.7,0.89
27,2024-10-23,002594,304.75,308.88,311.8,302.68,126695,3911383612.4,2.99,1.36,4.13,1.09
28,2024-10-24,002594,308.88,303.68,309.97,302.58,96885,2959755260.68,2.39,-1.68,-5.2,0.83
29,2024-10-25,002594,304.0,308.14,311.8,304.0,139820,4306245200.84,2.57,1.47,4.46,1.2
30,2024-10-28,002594,309.0,305.1,309.0,301.75,109324,3323177977.18,2.35,-0.99,-3.04,0.94
31,2024-10-29,002594,309.0,305.4,310.28,303.8,118546,3635542203.37,2.12,0.1,0.3,1.02
32,2024-10-30,002594,303.0,305.55,307.51,301.5,108448,3301164357.47,1.97,0.05,0.15,0.93
33,2024-10-31,002594,302.01,293.19,302.99,293.0,240852,7127704551.25,3.27,-4.05,-12.36,2.07
34,2024-11-01,002594,293.2,290.31,295.6,290.1,143041,4174457395.28,1.88,-0.98,-2.88,1.23
35,2024-11-04,002594,296.0,306.98,308.92,295.61,217319,6600399617.25,4.58,5.74,16.67,1.87
36,2024-11-05,002594,304.06,307.5,308.44,300.5,167820,5124245708.8,2.59,0.17,0.52,1.44
37,2024-11-06,002594,308.0,300.36,309.75,298.0,184861,5611830833.85,3.82,-2.32,-7.14,1.59
38,2024-11-07,002594,295.03,301.78,301.88,294.0,150676,4484370171.83,2.62,0.47,1.42,1.3
39,2024-11-08,002594,307.12,297.9,307.52,297.0,166716,5022195686.37,3.49,-1.29,-3.88,1.43
40,2024-11-11,002594,295.0,299.29,299.47,292.6,180859,5349190917.28,2.31,0.47,1.39,1.56
41,2024-11-12,002594,300.15,300.81,310.0,299.31,246557,7520312653.8,3.57,0.51,1.52,2.12
42,2024-11-13,002594,298.0,300.57,301.33,295.3,145116,4326957543.62,2.0,-0.08,-0.24,1.25
43,2024-11-14,002594,300.0,294.75,300.3,294.0,124583,3690676831.42,2.1,-1.94,-5.82,1.07
44,2024-11-15,002594,294.79,290.0,295.79,288.02,153236,4471450174.24,2.64,-1.61,-4.75,1.32
45,2024-11-18,002594,290.01,288.68,292.95,286.66,116206,3364288894.42,2.17,-0.46,-1.32,1.0
