index,编号,股东名称,持股数量,持股比例,股本性质,截至日期,公告日期,股东说明,股东总数,平均持股数
0,1,HKSC CNOMINEES LIMITED,3681393469.0,40.38,流通H股,2025-12-31,2026-03-28,,685147.0,13306.0
1,2,王传福,1540871550.0,16.9,"流通A股,限售流通股",2025-12-31,2026-03-28,,685147.0,13306.0
2,3,吕向阳,717685860.0,7.87,"流通A股,限售流通股",2025-12-31,2026-03-28,,685147.0,13306.0
3,4,融捷投资控股集团有限公司,465448806.0,5.11,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
4,5,夏佐全,247906821.0,2.72,"流通A股,限售流通股",2025-12-31,2026-03-28,,685147.0,13306.0
5,6,香港中央结算有限公司,,2.38,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
6,7,王念强,54899220.0,0.6,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
7,8,张炜,,,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
8,9,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,,0.49,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
9,10,全国社保基金一一四组合,,,流通A股,2025-12-31,2026-03-28,,685147.0,13306.0
10,1,HKSCC NOMINEES LIMITED,3681484673.0,40.38,流通H股,2025-09-30,2025-10-31,,642600.0,14188.0
11,2,王传福,1540871550.0,16.9,"流通A股,限售流通股",2025-09-30,2025-10-31,,642600.0,14188.0
12,3,吕向阳,717685860.0,7.87,"流通A股,限售流通股",2025-09-30,2025-10-31,,642600.0,14188.0
13,4,融捷投资控股集团有限公司,465448806.0,5.11,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
14,5,香港中央结算有限公司,265267020.0,2.91,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
15,6,夏佐全,247906821.0,2.72,"流通A股,限售流通股",2025-09-30,2025-10-31,,642600.0,14188.0
16,7,王念强,54899220.0,0.6,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
17,8,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,46303962.0,0.51,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
18,9,张炜,39999900.0,0.44,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
19,10,全国社保基金一一四组合,36964544.0,0.41,流通A股,2025-09-30,2025-10-31,,642600.0,14188.0
20,1,HKSCC NOMINEES LIMITED,1227164245.0,40.38,流通H股,2025-06-30,2025-08-30,,323939.0,9382.0
21,2,王传福,513623850.0,16.9,"流通A股,限售流通股",2025-06-30,2025-08-30,,323939.0,9382.0
22,3,吕向阳,239228620.0,7.87,"流通A股,限售流通股",2025-06-30,2025-08-30,,323939.0,9382.0
23,4,融捷投资控股集团有限公司,155149602.0,5.11,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
24,5,香港中央结算有限公司,128002614.0,4.21,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
25,6,夏佐全,82635607.0,2.72,"流通A股,限售流通股",2025-06-30,2025-08-30,,323939.0,9382.0
26,7,王念强,18299740.0,0.6,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
27,8,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,16058154.0,0.53,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
28,9,中央汇金资产管理有限责任公司,11976633.0,0.39,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
29,10,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,11489439.0,0.38,流通A股,2025-06-30,2025-08-30,,323939.0,9382.0
30,1,HKSCC NOMINEES LIMITED,1227261708.0,40.38,流通H股,2025-03-31,2025-04-26,,203708.0,14920.0
31,2,王传福,513623850.0,16.9,"流通A股,限售流通股",2025-03-31,2025-04-26,,203708.0,14920.0
