index,报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
0,2024,,58.33亿,6275.90亿,6324.10亿,16.66亿,-54.09亿,,6275.90亿,6140.74亿,6324.10亿,5564.50亿,49.31亿,200.80亿,211.08亿,176.50亿,30.54亿,37.97亿,28.65亿,31.64亿,39.66亿,23.56亿,71.78亿,-13.27亿,3.69亿,52.58亿,103.76亿,6.99亿,False,5.64亿,False,105.11亿,46.78亿,58.33亿,58.33亿,16.66亿,41.67亿,-54.09亿,,0.15,0.15,35.43亿,35.44亿,93.76亿,52.11亿,41.66亿
1,2023,,200.60亿,7447.05亿,7401.41亿,141.06亿,100.45亿,,7447.05亿,7261.99亿,7401.41亿,6573.01亿,49.64亿,247.85亿,242.40亿,183.65亿,-1.57亿,34.47亿,29.05亿,44.47亿,35.05亿,9.74亿,149.49亿,107.21亿,12.76亿,41.32亿,259.37亿,5.24亿,False,4.88亿,False,259.73亿,59.13亿,200.60亿,200.60亿,141.06亿,59.54亿,100.45亿,,1.23,1.23,-23.72亿,-23.19亿,176.88亿,117.87亿,59.01亿
2,2022,,228.43亿,7440.63亿,7382.22亿,161.18亿,89.92亿,,7440.63亿,7209.88亿,7382.22亿,6517.01亿,52.89亿,301.75亿,256.41亿,180.31亿,-7.64亿,27.06亿,27.49亿,14.58亿,20.83亿,-7684.48万,147.03亿,108.40亿,19.07亿,35.99亿,260.22亿,21.63亿,False,1.14亿,False,280.71亿,52.28亿,228.43亿,228.43亿,161.18亿,67.25亿,89.92亿,,1.40,1.40,-36.39亿,-32.50亿,192.04亿,128.68亿,63.36亿
3,2021,,339.42亿,7798.46亿,7719.64亿,245.33亿,185.75亿,,7798.46亿,7599.15亿,7719.64亿,6867.43亿,55.41亿,295.05亿,241.04亿,196.68亿,5.64亿,21.06亿,24.11亿,9.83亿,2.31亿,17.38亿,271.64亿,173.66亿,8.10亿,38.23亿,414.47亿,4.69亿,False,3.58亿,False,415.58亿,76.16亿,339.42亿,339.42亿,245.33亿,94.09亿,185.75亿,,2.12,False,14.16亿,9.45亿,353.58亿,254.79亿,98.79亿
4,2020,,291.88亿,7421.32亿,7338.35亿,204.31亿,177.44亿,,7421.32亿,7230.43亿,7338.35亿,6577.66亿,57.60亿,255.51亿,218.18亿,133.95亿,5.17亿,21.80亿,23.08亿,31.90亿,11.16亿,38.12亿,210.10亿,143.20亿,-1.11亿,25.80亿,356.07亿,7.50亿,False,4.65亿,False,358.92亿,67.04亿,291.88亿,291.88亿,204.31亿,87.57亿,177.44亿,,1.75,False,9.41亿,8.58亿,301.29亿,212.89亿,88.39亿
5,2019,,352.89亿,8433.24亿,8338.82亿,256.03亿,215.81亿,,8433.24亿,8265.30亿,8338.82亿,7261.00亿,66.10亿,574.51亿,223.08亿,133.94亿,2436.66万,20.26亿,20.15亿,16.42亿,18.65亿,14.97亿,249.01亿,230.17亿,9749.11万,43.79亿,403.45亿,7.67亿,False,1.54亿,False,409.58亿,56.69亿,352.89亿,352.89亿,256.03亿,96.86亿,215.81亿,,2.19,False,48.44亿,43.82亿,401.33亿,299.85亿,101.48亿
6,2018,,484.05亿,9021.94亿,8851.72亿,360.09亿,324.09亿,,9021.94亿,8876.26亿,8851.72亿,7699.86亿,74.63亿,634.23亿,213.36亿,153.85亿,1.95亿,18.63亿,16.19亿,34.90亿,False,-1.13亿,331.26亿,259.21亿,4.83亿,31.26亿,536.74亿,11.25亿,False,4.55亿,False,543.44亿,59.39亿,484.05亿,484.05亿,360.09亿,123.95亿,324.09亿,,3.08,False,-61.06亿,-58.39亿,422.98亿,301.70亿,121.28亿
7,2017,,471.16亿,8706.39亿,8493.99亿,344.10亿,329.16亿,,8706.39亿,8579.78亿,8493.99亿,7423.82亿,78.82亿,611.22亿,182.86亿,130.15亿,1.43亿,13.94亿,13.80亿,37.40亿,False,-433.58万,308.12亿,283.04亿,2224.61万,20.25亿,541.10亿,8.69亿,False,7.18亿,False,542.61亿,71.45亿,471.16亿,471.16亿,344.10亿,127.06亿,329.16亿,,2.96,0.0000,37.53亿,38.87亿,508.69亿,382.97亿,125.72亿
8,2016,,439.59亿,7564.14亿,7385.65亿,320.06亿,303.29亿,,7564.14亿,7462.35亿,7385.65亿,6502.15亿,75.21亿,475.03亿,282.65亿,False,-3.33亿,False,False,32.09亿,False,-1002.35万,305.73亿,277.52亿,1.54亿,False,485.83亿,29.44亿,False,10.38亿,False,504.90亿,65.30亿,439.59亿,439.59亿,320.06亿,119.53亿,303.29亿,,2.90,False,-10.05亿,-9.50亿,429.54亿,310.55亿,118.99亿
9,2015,,400.74亿,6704.48亿,6562.54亿,297.94亿,273.31亿,,6704.48亿,6613.74亿,6562.54亿,5858.33亿,65.44亿,355.38亿,233.29亿,False,-2.31亿,False,False,28.48亿,False,-2.86亿,296.63亿,266.31亿,False,False,435.88亿,36.67亿,1.31亿,14.45亿,3.86亿,458.10亿,57.36亿,400.74亿,False,297.94亿,102.80亿,273.31亿,,2.70,False,10.41亿,12.13亿,411.15亿,310.07亿,101.08亿
