报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其他应收款,存货,一年内到期的非流动资产,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,持有至到期投资,长期股权投资,其他非流动金融资产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,长期应付款合计,其中：长期应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025-09-30,,859.72亿,1298.63亿,438.92亿,783.94亿,,,366.51亿,False,359.69亿,27.95亿,331.74亿,7.11亿,5.88亿,False,201.05亿,6.71亿,12.79亿,366.51亿,988.42亿,,False,False,16.38亿,4.76亿,167.87亿,False,False,45.70亿,False,False,18.52亿,3.12亿,1.35亿,23.18亿,22.32亿,310.22亿,1298.63亿,,14.79亿,False,746.94万,179.68亿,4.23亿,175.45亿,False,35.97亿,60.18亿,18.88亿,55.76亿,False,20.77亿,False,38.25亿,3.77亿,407.35亿,,13.57亿,False,974.96万,False,3.51亿,1.31亿,8.23亿,1.78亿,31.57亿,438.92亿,,91.65亿,43.03亿,False,2814.95万,47.15亿,601.83亿,783.94亿,75.77亿,859.72亿,1298.63亿
2025-06-30,,858.09亿,1244.15亿,386.06亿,785.52亿,,,312.86亿,False,372.57亿,24.19亿,348.38亿,6.20亿,4.48亿,4.48亿,191.25亿,7.56亿,13.13亿,312.86亿,939.70亿,,False,False,14.91亿,5.15亿,168.84亿,168.84亿,False,40.08亿,40.08亿,False,18.69亿,3.13亿,1.42亿,23.19亿,21.35亿,304.45亿,1244.15亿,,15.31亿,False,5583.99万,163.73亿,5.52亿,158.20亿,False,33.81亿,49.33亿,15.68亿,33.48亿,False,1988.22万,33.28亿,40.58亿,3.30亿,355.78亿,,12.28亿,False,978.38万,978.38万,3.54亿,1.32亿,8.44亿,1.43亿,30.28亿,386.06亿,,92.33亿,62.43亿,18.49亿,2182.88万,47.15亿,601.87亿,785.52亿,72.57亿,858.09亿,1244.15亿
2025-03-31,,888.77亿,1257.36亿,368.58亿,818.57亿,,,328.25亿,False,376.89亿,26.25亿,350.64亿,6.32亿,6.59亿,False,192.56亿,8.78亿,11.74亿,328.25亿,958.95亿,,False,False,14.80亿,4.89亿,149.68亿,False,False,50.66亿,False,False,18.87亿,3.12亿,1.56亿,23.48亿,23.04亿,298.40亿,1257.36亿,,14.52亿,False,3847.71万,150.38亿,10.95亿,139.43亿,False,32.67亿,38.47亿,17.66亿,37.32亿,False,2608.76万,False,10.24亿,3.26亿,304.90亿,,45.87亿,False,978.13万,False,3.03亿,1.11亿,9.01亿,9398.06万,63.69亿,368.58亿,,92.33亿,62.13亿,12.36亿,-6783.71万,47.15亿,629.99亿,818.57亿,70.21亿,888.77亿,1257.36亿
2024-12-31,,875.00亿,1320.16亿,445.16亿,806.69亿,,,362.71亿,False,406.33亿,27.23亿,379.10亿,6.65亿,5.31亿,False,191.11亿,8.94亿,10.71亿,362.71亿,1024.81亿,,False,False,15.27亿,4.72亿,150.64亿,False,False,46.99亿,False,False,18.28亿,3.12亿,1.63亿,22.06亿,23.53亿,295.36亿,1320.16亿,,10.32亿,False,187.43万,213.82亿,11.97亿,201.85亿,False,33.54亿,56.66亿,15.36亿,35.28亿,False,18.68万,False,7.67亿,3.77亿,376.45亿,,51.19亿,False,978.02万,False,3.05亿,1.13亿,8.75亿,7402.99万,68.71亿,445.16亿,,92.33亿,61.82亿,3.10亿,-1.12亿,47.15亿,609.60亿,806.69亿,68.32亿,875.00亿,1320.16亿
2024-09-30,,831.94亿,1240.94亿,409.00亿,768.28亿,,,282.61亿,625.19万,413.03亿,21.38亿,391.65亿,7.08亿,4.92亿,False,200.36亿,10.53亿,10.93亿,282.67亿,959.59亿,,False,False,11.22亿,4.52亿,132.45亿,False,False,41.71亿,False,False,18.35亿,3.10亿,1.46亿,20.55亿,39.37亿,281.35亿,1240.94亿,,9.05亿,1655.47万,False,174.44亿,7.66亿,166.78亿,False,32.36亿,48.61亿,17.12亿,35.92亿,False,19.05万,False,14.98亿,3.76亿,336.41亿,,56.67亿,False,1383.43万,False,2.42亿,1.56亿,8.20亿,4795.51万,72.59亿,409.00亿,,92.33亿,58.70亿,False,-8158.83万,47.15亿,570.90亿,768.28亿,63.66亿,831.94亿,1240.94亿
2024-06-30,,799.48亿,1277.86亿,478.39亿,737.52亿,,,341.27亿,681.24万,389.42亿,21.59亿,367.83亿,6.07亿,34.20亿,34.20亿,190.37亿,10.23亿,10.87亿,341.33亿,1012.08亿,,False,False,10.96亿,4.85亿,131.53亿,131.53亿,False,36.30亿,36.30亿,False,18.53亿,3.12亿,1.56亿,20.15亿,29.53亿,265.78亿,1277.86亿,,13.10亿,704.75万,False,158.83亿,11.00亿,147.84亿,False,30.71亿,41.24亿,14.35亿,36.83亿,False,3.00亿,33.83亿,81.03亿,29.45亿,405.62亿,,56.80亿,False,1378.57万,1378.57万,2.40亿,1.58亿,8.47亿,3026.15万,72.77亿,478.39亿,,93.31亿,85.53亿,26.50亿,16.66万,47.15亿,538.03亿,737.52亿,61.95亿,799.48亿,1277.86亿
2024-03-31,,846.54亿,1322.60亿,476.05亿,784.84亿,,,441.10亿,False,359.49亿,25.53亿,333.96亿,5.11亿,9.41亿,False,197.31亿,10.92亿,11.12亿,441.10亿,1062.52亿,,False,False,10.88亿,5.11亿,114.44亿,False,False,46.66亿,False,False,18.07亿,3.11亿,1.66亿,19.88亿,30.25亿,260.08亿,1322.60亿,,15.72亿,570.57万,False,143.93亿,16.32亿,127.61亿,False,31.36亿,36.31亿,15.00亿,37.33亿,False,2.05亿,False,90.00亿,13.95亿,383.66亿,,59.69亿,False,445.25万,False,2.11亿,1.28亿,9.11亿,16.74亿,92.40亿,476.05亿,,93.31亿,80.64亿,27.38亿,5965.54万,47.15亿,590.53亿,784.84亿,61.70亿,846.54亿,1322.60亿
2023-12-31,,821.64亿,1388.58亿,566.95亿,763.54亿,,,496.38亿,False,384.23亿,26.06亿,358.17亿,5.08亿,5.72亿,5.72亿,192.11亿,10.80亿,9.62亿,496.38亿,1131.61亿,,False,False,11.51亿,4.72亿,115.08亿,115.08亿,False,43.08亿,43.08亿,False,18.10亿,3.11亿,1.77亿,19.78亿,29.20亿,256.97亿,1388.58亿,,21.19亿,False,3807.98万,203.27亿,11.64亿,191.63亿,False,29.78亿,61.20亿,16.23亿,39.12亿,False,2.54亿,36.58亿,58.15亿,14.81亿,444.13亿,,89.40亿,False,1552.62万,False,2.13亿,1.30亿,9.66亿,16.73亿,122.82亿,566.95亿,,93.31亿,78.65亿,27.38亿,4466.75万,47.15亿,571.37亿,763.54亿,58.09亿,821.64亿,1388.58亿
2023-09-30,,767.91亿,1274.57亿,506.67亿,715.13亿,,,399.78亿,2346.90万,371.62亿,21.21亿,350.40亿,11.77亿,8.07亿,False,193.63亿,12.31亿,9.31亿,400.01亿,1031.63亿,,False,False,11.27亿,4.76亿,104.33亿,False,False,43.77亿,False,False,15.87亿,3.97亿,1.81亿,16.94亿,28.83亿,242.94亿,1274.57亿,,29.21亿,418.14万,False,159.13亿,6.36亿,152.77亿,False,30.95亿,43.83亿,18.44亿,36.01亿,False,False,False,50.33亿,14.51亿,382.45亿,,92.52亿,False,596.78万,False,2.16亿,1.22亿,8.77亿,16.70亿,124.21亿,506.67亿,,93.31亿,83.13亿,27.38亿,1222.82万,47.15亿,518.79亿,715.13亿,52.78亿,767.91亿,1274.57亿
2023-06-30,,727.79亿,1189.17亿,461.38亿,677.32亿,,,346.70亿,1094.87万,337.89亿,21.62亿,316.27亿,11.28亿,12.96亿,12.96亿,195.98亿,10.64亿,10.90亿,346.81亿,960.20亿,,False,False,11.21亿,4.75亿,98.86亿,98.86亿,False,38.07亿,38.07亿,False,15.98亿,3.98亿,1.84亿,16.24亿,25.84亿,228.97亿,1189.17亿,,31.51亿,4994.90万,False,148.75亿,9.06亿,139.69亿,False,27.70亿,36.79亿,14.25亿,31.49亿,False,4.12亿,27.36亿,21.48亿,19.69亿,332.16亿,,96.98亿,False,590.63万,590.63万,2.21亿,1.22亿,9.04亿,16.70亿,129.22亿,461.38亿,,93.64亿,85.34亿,31.81亿,5716.51万,47.15亿,482.43亿,677.32亿,50.47亿,727.79亿,1189.17亿
