股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
002415,2025-06-30,,智能物联产品及服务,41818040088.44,1.0,22919499439.04,1.0,18898540649.4,1.0,0.451923
002415,2025-06-30,按产品分类,主业产品及服务,29271794689.37,0.69998,15069807832.83,0.65751,14201986856.54,0.751486,0.485176
002415,2025-06-30,按产品分类,创新业务,11765929142.61,0.28136,7262461672.59,0.316868,4503467470.02,0.238297,0.382755
002415,2025-06-30,按产品分类,主业建造工程,780316256.46,0.01866,587229933.62,0.025621,193086322.84,0.010217,0.247446
002415,2025-06-30,按地区分类,境内,26393423147.63,0.631149,14784367186.17,0.645056,11609055961.46,0.614283,0.439847
002415,2025-06-30,按地区分类,境外,15424616940.81,0.368851,8135132252.87,0.354944,7289484687.94,0.385717,0.472588
002415,2024-12-31,,智能物联产品及服务,92495525118.3,1.0,51953857912.21,1.0,40541667206.09,1.0,0.438309
002415,2024-12-31,按产品分类,主业产品及服务,67963258099.83,0.734773,36860856267.41,0.709492,31102401832.42,0.767171,0.457636
002415,2024-12-31,按产品分类,创新业务,22484151011.57,0.243084,13468787760.14,0.259245,9015363251.43,0.222373,0.400965
002415,2024-12-31,按产品分类,主业建造工程,2048116006.9,0.022143,1624213884.66,0.031263,423902122.24,0.010456,0.206972
002415,2024-12-31,按产品分类,其中:机器人业务,5928825303.14,0.064099,,,,,
002415,2024-12-31,按产品分类,其中:智能家居业务,5190222359.58,0.056113,,,,,
002415,2024-12-31,按产品分类,其中:热成像业务,4191132575.45,0.045312,,,,,
002415,2024-12-31,按产品分类,其中:汽车电子业务,3919493044.46,0.042375,,,,,
002415,2024-12-31,按产品分类,其中:存储业务,2314389221.29,0.025022,,,,,
002415,2024-12-31,按产品分类,其中:其他创新业务,940088507.65,0.010164,,,,,
002415,2024-12-31,按地区分类,境内,60601005007.24,0.655178,34769215813.85,0.669233,25831789193.39,0.637166,0.42626
002415,2024-12-31,按地区分类,境外,31894520111.06,0.344822,17184642098.36,0.330767,14709878012.7,0.362834,0.461204
002415,2024-06-30,,智能物联产品及服务,41209096206.36,1.0,22643709573.16,1.0,18565386633.2,1.0,0.450517
