报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2025-09-30,,3.21亿,136.97亿,-28.31亿,-105.93亿,363.74亿,,,783.69亿,32.37亿,11.87亿,827.93亿,439.89亿,150.21亿,48.71亿,52.14亿,690.96亿,136.97亿,,34.86亿,9495.30万,1.17亿,False,8332.45万,37.81亿,30.85亿,35.27亿,False,False,66.12亿,-28.31亿,,False,False,29.59亿,False,False,29.59亿,32.14亿,84.46亿,False,18.91亿,135.51亿,-105.93亿,4752.59万,3.21亿,360.53亿,363.74亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2025-06-30,,-50.54亿,53.43亿,-18.79亿,-85.51亿,309.99亿,,,497.01亿,21.08亿,8.13亿,526.22亿,300.95亿,107.58亿,30.65亿,33.62亿,472.79亿,53.43亿,,20.65亿,4924.81万,3575.80万,False,5831.11万,22.09亿,19.78亿,21.10亿,False,False,40.87亿,-18.79亿,,False,False,24.99亿,False,False,24.99亿,26.08亿,67.98亿,2.76亿,16.43亿,110.49亿,-85.51亿,3187.39万,-50.54亿,360.53亿,309.99亿,,,62.81亿,2.09亿,8.82亿,5289.80万,4636.11万,-738.64万,3.72万,4311.74万,5331.50万,3668.09万,-1.15亿,1970.24万,-2.52亿,35.96亿,-58.40亿,False,53.43亿,,,309.99亿,360.53亿,-50.54亿
2025-03-31,,-34.20亿,-17.37亿,-8.42亿,-8.65亿,326.33亿,,,241.49亿,8.61亿,4.42亿,254.53亿,178.51亿,64.61亿,12.40亿,16.38亿,271.90亿,-17.37亿,,9.93亿,1924.59万,753.04万,False,5201.14万,10.72亿,9.38亿,9.76亿,False,False,19.14亿,-8.42亿,,False,False,15.28亿,False,False,15.28亿,13.68亿,5139.65万,False,9.73亿,23.93亿,-8.65亿,2388.98万,-34.20亿,360.53亿,326.33亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-12-31,,-133.75亿,132.64亿,-45.48亿,-220.79亿,360.53亿,,,985.12亿,41.98亿,17.61亿,1044.71亿,568.58亿,201.41亿,66.79亿,75.29亿,912.07亿,132.64亿,,30.02亿,6733.34万,1889.37万,False,8441.98万,31.73亿,46.66亿,30.46亿,844.07万,False,77.21亿,-45.48亿,,1.49亿,1.49亿,72.14亿,False,200.71万,73.65亿,170.74亿,89.94亿,3.27亿,33.77亿,294.44亿,-220.79亿,-1248.72万,-133.75亿,494.28亿,360.53亿,,,131.41亿,4.46亿,17.87亿,9999.99万,9711.58万,1454.00万,32.28万,-4775.91万,2.56亿,-8591.16万,-2.36亿,-1715.56万,-3.00亿,-40.19亿,4.80亿,False,132.64亿,,,360.53亿,494.28亿,-133.75亿
2024-09-30,,-213.48亿,26.04亿,-33.16亿,-205.93亿,280.80亿,,,673.72亿,32.14亿,12.96亿,718.82亿,433.19亿,155.14亿,47.13亿,57.32亿,692.78亿,26.04亿,,19.42亿,6703.34万,536.62万,False,4321.35万,20.58亿,33.88亿,19.86亿,False,False,53.74亿,-33.16亿,,False,False,57.02亿,False,200.71万,57.04亿,144.51亿,88.92亿,False,29.53亿,262.96亿,-205.93亿,-4364.76万,-213.48亿,494.28亿,280.80亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-06-30,,-154.74亿,-1.90亿,-19.03亿,-133.60亿,339.54亿,,,436.86亿,19.24亿,10.82亿,466.91亿,290.84亿,111.79亿,31.45亿,34.73亿,468.81亿,-1.90亿,,14.48亿,False,444.02万,False,4321.35万,14.96亿,19.18亿,14.81亿,False,False,33.99亿,-19.03亿,,False,False,50.57亿,False,False,50.57亿,67.69亿,87.70亿,2.28亿,28.78亿,184.17亿,-133.60亿,-2058.14万,-154.74亿,494.28亿,339.54亿,,,56.41亿,2.04亿,8.04亿,4984.68万,4691.39万,1177.29万,17.39万,-5038.91万,1.42亿,1.04亿,-3639.61万,2611.46万,-1295.32万,-14.68亿,-67.21亿,False,-1.90亿,,,339.54亿,494.28亿,-154.74亿
2024-03-31,,-54.66亿,-39.66亿,-10.04亿,-4.82亿,439.62亿,,,221.57亿,7.97亿,5.24亿,234.78亿,173.04亿,68.10亿,15.07亿,18.23亿,274.44亿,-39.66亿,,13.99亿,False,1040.30万,False,1956.66万,14.28亿,10.08亿,14.25亿,False,False,24.33亿,-10.04亿,,False,False,14.01亿,False,False,14.01亿,16.60亿,1.74亿,False,5017.97万,18.84亿,-4.82亿,-1400.55万,-54.66亿,494.28亿,439.62亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-12-31,,96.03亿,166.22亿,-39.87亿,-31.45亿,494.28亿,,,935.94亿,39.91亿,18.06亿,993.92亿,520.09亿,179.78亿,64.95亿,62.88亿,827.70亿,166.22亿,,46.88亿,6712.38万,3073.84万,False,1.21亿,49.08亿,40.48亿,48.03亿,4399.27万,False,88.95亿,-39.87亿,,7257.00万,7257.00万,110.32亿,False,500.00万,111.10亿,61.75亿,70.83亿,1.94亿,9.97亿,142.55亿,-31.45亿,1.13亿,96.03亿,398.25亿,494.28亿,,,151.56亿,4.63亿,16.20亿,9892.46万,8414.44万,567.45万,483.27万,-2267.93万,3.25亿,-6330.23万,-5.07亿,-5485.39万,-3.65亿,-61.33亿,45.88亿,False,166.22亿,,,494.28亿,398.25亿,96.03亿
2023-09-30,,-262.50万,59.13亿,-34.40亿,-25.68亿,398.22亿,,,640.48亿,27.96亿,14.67亿,683.11亿,394.29亿,138.71亿,46.19亿,44.79亿,623.98亿,59.13亿,,36.77亿,217.08万,499.26万,False,4549.01万,37.29亿,33.21亿,38.03亿,4399.27万,False,71.69亿,-34.40亿,,1082.00万,1082.00万,84.12亿,False,500.00万,84.27亿,31.94亿,69.19亿,False,8.82亿,109.95亿,-25.68亿,9152.92万,-262.50万,398.25亿,398.22亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-06-30,,-52.93亿,10.26亿,-20.85亿,-43.95亿,345.32亿,,,402.53亿,16.11亿,9.93亿,428.58亿,263.12亿,98.75亿,28.10亿,28.34亿,418.32亿,10.26亿,,23.10亿,False,540.03万,False,2988.83万,23.46亿,20.11亿,23.76亿,4399.27万,False,44.31亿,-20.85亿,,102.00万,102.00万,46.64亿,False,False,46.65亿,15.41亿,67.29亿,1.28亿,7.89亿,90.60亿,-43.95亿,1.61亿,-52.93亿,398.25亿,345.32亿,,,57.57亿,1.96亿,6.94亿,3544.62万,4167.64万,269.94万,52.73万,-4658.90万,1.09亿,-1076.66万,-1.54亿,120.86万,-5.42亿,-23.94亿,-34.70亿,False,10.26亿,,,345.32亿,398.25亿,-52.93亿
