名次,股东名称,股东性质,股份类型,持股数,占总流通股本持股比例,增减,变动比率
1,中电海康集团有限公司,其它,A股,3416996509,37.771752486467,不变,
2,龚虹嘉,个人,A股,962504814,10.639605134417,不变,
3,杭州威讯股权投资合伙企业(有限合伙),投资公司,A股,450795176,4.983125901685,不变,
4,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,私募基金,A股,280000000,3.095142376749,-58000000,-17.15976331
5,中电科投资控股有限公司,投资公司,A股,248366268,2.74546057515,不变,
6,杭州璞康股权投资合伙企业(有限合伙),投资公司,A股,182510174,2.017482049055,不变,
7,中国电子科技集团公司第五十二研究所,其它,A股,180775044,1.998301783368,不变,
8,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪,保险产品,A股,127550920,1.409958063162,新进,
9,中央汇金资产管理有限责任公司,其它,A股,64700691,0.715206608997,不变,
10,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,证券投资基金,A股,63051156,0.696972517281,-2890700,-4.3837104
