报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,一年内到期的非流动资产,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,长期应付款合计,其中：长期应付款,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025-09-30,,2583.98亿,9019.25亿,6435.27亿,2455.15亿,,,1197.25亿,555.24亿,393.64亿,False,393.64亿,47.23亿,39.47亿,False,False,1529.73亿,171.10亿,283.68亿,1752.49亿,4301.94亿,,False,213.80亿,83.53亿,30.11亿,5894.70万,2760.39亿,False,487.90亿,False,False,413.23亿,44.28亿,42.09亿,127.62亿,229.35亿,4717.31亿,9019.25亿,,152.91亿,False,1.69亿,2250.15亿,22.21亿,2227.94亿,False,613.50亿,156.13亿,89.74亿,1347.91亿,False,False,False,65.92亿,217.05亿,4942.92亿,,611.98亿,49.98亿,False,False,24.76亿,716.55亿,1492.34亿,6435.27亿,,91.17亿,966.16亿,39.88亿,35.21亿,73.74亿,1071.88亿,2455.15亿,128.83亿,2583.98亿,9019.25亿
2025-06-30,,2447.50亿,8463.43亿,6015.92亿,2321.66亿,,,1117.34亿,356.95亿,433.82亿,False,433.82亿,56.65亿,46.21亿,False,45.72亿,1408.39亿,124.03亿,272.32亿,1474.29亿,3906.35亿,,False,203.54亿,83.70亿,30.51亿,5937.40万,2807.95亿,2807.95亿,356.07亿,311.42亿,44.64亿,410.62亿,44.28亿,45.36亿,107.67亿,245.11亿,4557.07亿,8463.43亿,,161.07亿,False,1.30亿,2366.86亿,14.72亿,2352.14亿,False,489.08亿,210.88亿,49.35亿,1566.09亿,False,125.15亿,1440.94亿,95.77亿,151.21亿,5133.56亿,,54.96亿,False,False,False,23.21亿,714.12亿,882.37亿,6015.92亿,,30.39亿,1004.25亿,47.12亿,22.91亿,73.74亿,1020.05亿,2321.66亿,125.84亿,2447.50亿,8463.43亿
2025-03-31,,2461.62亿,8405.27亿,5943.66亿,2333.61亿,,,1174.07亿,359.84亿,531.83亿,False,531.83亿,51.82亿,36.35亿,False,False,1543.74亿,114.05亿,214.83亿,1533.91亿,4099.94亿,,False,196.31亿,82.69亿,28.92亿,5980.10万,2698.14亿,False,256.69亿,False,False,401.44亿,44.28亿,48.13亿,93.09亿,243.91亿,4305.33亿,8405.27亿,,131.45亿,False,False,2526.62亿,18.90亿,2507.73亿,False,461.41亿,217.14亿,74.77亿,1434.66亿,False,False,False,120.01亿,53.20亿,5057.97亿,,63.39亿,False,False,False,25.00亿,700.86亿,885.69亿,5943.66亿,,30.39亿,995.69亿,7.24亿,11.98亿,73.74亿,1078.74亿,2333.61亿,128.00亿,2461.62亿,8405.27亿
2024-12-31,,1986.88亿,7833.56亿,5846.68亿,1852.51亿,,,1027.39亿,405.11亿,622.99亿,False,622.99亿,39.74亿,36.16亿,False,False,1160.36亿,113.79亿,177.29亿,1432.50亿,3705.72亿,,False,190.82亿,85.01亿,26.55亿,6022.80万,2622.87亿,False,199.54亿,False,False,384.24亿,44.28亿,50.07亿,85.59亿,225.36亿,4127.84亿,7833.56亿,,121.03亿,False,199.30万,2440.27亿,23.84亿,2416.43亿,False,437.30亿,218.43亿,100.97亿,1449.89亿,False,False,False,102.23亿,54.24亿,4959.85亿,,82.58亿,False,False,False,27.87亿,677.61亿,886.82亿,5846.68亿,,29.09亿,606.79亿,7.24亿,14.41亿,73.74亿,986.48亿,1852.51亿,134.37亿,1986.88亿,7833.56亿
2024-09-30,,1688.03亿,7642.60亿,5954.57亿,1554.62亿,,,663.19亿,254.15亿,794.44亿,False,794.44亿,34.33亿,30.59亿,False,False,1243.59亿,102.17亿,190.46亿,917.35亿,3620.99亿,,False,194.87亿,75.00亿,28.61亿,6065.40万,2629.85亿,False,176.40亿,False,False,372.40亿,44.28亿,54.65亿,80.39亿,174.87亿,4021.61亿,7642.60亿,,205.51亿,4930.80万,False,2404.60亿,29.40亿,2375.20亿,False,574.75亿,167.69亿,90.88亿,1486.91亿,False,False,False,97.80亿,59.68亿,5120.92亿,,97.99亿,False,False,False,33.12亿,609.89亿,833.65亿,5954.57亿,,29.09亿,619.64亿,7.24亿,5.62亿,73.74亿,833.50亿,1554.62亿,133.40亿,1688.03亿,7642.60亿
2024-06-30,,1546.11亿,6862.45亿,5316.34亿,1427.87亿,,,530.53亿,173.88亿,718.15亿,False,718.15亿,50.31亿,30.63亿,False,30.63亿,1127.53亿,False,155.40亿,704.41亿,2984.32亿,,False,185.43亿,64.22亿,28.14亿,6108.10万,2300.30亿,2300.30亿,432.75亿,390.58亿,42.18亿,362.69亿,44.28亿,52.66亿,68.61亿,147.58亿,3878.13亿,6862.45亿,,100.48亿,False,False,2097.77亿,22.59亿,2075.17亿,False,367.55亿,189.93亿,59.01亿,1574.97亿,False,94.27亿,1480.70亿,80.60亿,27.70亿,4527.43亿,,113.05亿,False,False,False,32.70亿,549.58亿,788.91亿,5316.34亿,,29.09亿,619.14亿,12.67亿,8822.40万,73.74亿,717.43亿,1427.87亿,118.24亿,1546.11亿,6862.45亿
2024-03-31,,1549.47亿,6777.84亿,5228.37亿,1430.90亿,,,867.97亿,93.85亿,612.66亿,False,612.66亿,30.11亿,28.13亿,False,False,987.79亿,82.09亿,134.94亿,961.82亿,2928.94亿,,False,181.02亿,65.66亿,27.87亿,6150.80万,2310.94亿,False,399.10亿,False,False,369.58亿,44.28亿,53.76亿,70.92亿,133.36亿,3848.90亿,6777.84亿,,137.19亿,9817.70万,False,1994.43亿,33.09亿,1961.34亿,False,383.63亿,162.91亿,65.57亿,1561.63亿,False,False,False,81.70亿,25.83亿,4440.81亿,,139.96亿,False,False,False,37.05亿,519.56亿,787.56亿,5228.37亿,,29.11亿,621.78亿,12.67亿,1.78亿,73.74亿,716.93亿,1430.90亿,118.57亿,1549.47亿,6777.84亿
2023-12-31,,1504.62亿,6795.48亿,5290.86亿,1388.10亿,,,1090.94亿,95.43亿,618.66亿,False,618.66亿,22.15亿,27.58亿,False,27.58亿,876.77亿,False,132.15亿,1186.37亿,3021.21亿,,False,176.47亿,53.27亿,26.96亿,8251.00万,2309.04亿,2309.04亿,347.26亿,303.61亿,43.65亿,372.36亿,44.28亿,40.63亿,65.84亿,152.74亿,3774.26亿,6795.48亿,,183.23亿,False,771.30万,1984.83亿,40.53亿,1944.30亿,False,346.99亿,171.39亿,78.52亿,1649.73亿,False,False,1649.73亿,77.40亿,18.29亿,4536.67亿,,119.75亿,False,False,False,39.51亿,506.46亿,754.19亿,5290.86亿,,29.11亿,620.42亿,12.67亿,6.04亿,73.74亿,671.24亿,1388.10亿,116.52亿,1504.62亿,6795.48亿
2023-09-30,,1410.67亿,6232.83亿,4822.17亿,1298.56亿,,,557.60亿,106.12亿,529.70亿,False,529.70亿,32.17亿,25.72亿,False,False,927.12亿,57.68亿,153.23亿,663.72亿,2751.33亿,,False,169.10亿,51.43亿,27.61亿,8313.40万,2081.57亿,False,409.72亿,False,False,316.48亿,6591.40万,9.18亿,57.32亿,239.69亿,3481.50亿,6232.83亿,,100.98亿,1.61亿,False,1856.65亿,40.75亿,1815.90亿,False,381.13亿,136.75亿,63.55亿,1545.05亿,False,False,False,58.64亿,24.43亿,4192.77亿,,92.61亿,False,False,False,27.34亿,477.06亿,629.40亿,4822.17亿,,29.11亿,618.83亿,12.67亿,4.85亿,68.39亿,589.86亿,1298.56亿,112.11亿,1410.67亿,6232.83亿
2023-06-30,,1304.01亿,5911.33亿,4607.32亿,1196.66亿,,,798.11亿,130.64亿,490.59亿,False,490.59亿,42.80亿,20.11亿,False,20.11亿,869.00亿,False,147.41亿,928.76亿,2660.07亿,,False,164.74亿,51.98亿,24.29亿,8375.70万,1811.05亿,1811.05亿,515.90亿,453.66亿,62.24亿,306.15亿,6591.40万,7.97亿,52.07亿,214.97亿,3251.26亿,5911.33亿,,98.35亿,1.41亿,False,1690.93亿,36.03亿,1654.90亿,False,350.85亿,145.84亿,44.53亿,1590.18亿,False,34.52亿,1555.66亿,72.25亿,22.14亿,4036.90亿,,77.61亿,False,False,False,26.13亿,438.17亿,570.43亿,4607.32亿,,29.11亿,622.66亿,18.10亿,8.70亿,68.39亿,485.73亿,1196.66亿,107.36亿,1304.01亿,5911.33亿
2023-03-31,,1260.85亿,5471.03亿,4210.18亿,1155.77亿,,,562.83亿,104.31亿,390.31亿,False,390.31亿,59.61亿,17.72亿,False,False,882.79亿,False,166.20亿,667.15亿,2567.62亿,,False,158.11亿,47.04亿,22.93亿,8438.10万,1477.38亿,False,561.50亿,False,False,276.10亿,6591.40万,5.88亿,47.05亿,240.01亿,2903.41亿,5471.03亿,,157.01亿,6226.80万,False,1561.54亿,37.10亿,1524.45亿,False,253.05亿,126.13亿,41.99亿,1494.17亿,False,False,False,77.61亿,10.77亿,3738.39亿,,86.11亿,False,False,False,21.10亿,337.97亿,471.79亿,4210.18亿,,29.11亿,620.49亿,18.10亿,5.00亿,68.39亿,450.73亿,1155.77亿,105.08亿,1260.85亿,5471.03亿
2022-12-31,,1213.90亿,4938.61亿,3724.71亿,1110.29亿,,,514.71亿,206.27亿,388.28亿,False,388.28亿,82.24亿,19.10亿,False,19.10亿,791.07亿,False,131.36亿,720.98亿,2408.04亿,,False,154.85亿,44.19亿,21.47亿,8500.50万,1318.80亿,1318.80亿,446.22亿,372.59亿,73.63亿,232.23亿,6591.40万,4.58亿,36.87亿,210.45亿,2530.57亿,4938.61亿,,51.53亿,5460.50万,False,1437.66亿,33.28亿,1404.37亿,False,355.17亿,120.37亿,43.26亿,1221.24亿,False,False,1221.24亿,64.65亿,26.15亿,3333.45亿,,75.94亿,False,False,False,20.19亿,268.97亿,391.26亿,3724.71亿,,29.11亿,617.06亿,18.10亿,4.28亿,68.39亿,409.43亿,1110.29亿,103.61亿,1213.90亿,4938.61亿
2022-09-30,,1125.64亿,4262.31亿,3136.67亿,1025.14亿,,,449.32亿,24.42亿,369.68亿,False,369.68亿,60.64亿,23.30亿,False,False,734.35亿,7.49亿,273.80亿,473.74亿,2163.24亿,,False,133.77亿,34.87亿,16.54亿,8562.80万,1013.40亿,False,389.48亿,False,False,228.51亿,6591.40万,2.50亿,29.29亿,190.85亿,2099.07亿,4262.31亿,,95.13亿,1.74亿,False,1218.51亿,26.38亿,1192.13亿,False,335.22亿,88.13亿,35.84亿,949.07亿,False,False,False,67.24亿,27.81亿,2876.45亿,,77.56亿,False,False,False,10.79亿,151.28亿,260.22亿,3136.67亿,,29.11亿,612.65亿,18.10亿,-3.39亿,50.09亿,354.62亿,1025.14亿,100.51亿,1125.64亿,4262.31亿
2022-06-30,,1062.40亿,3459.43亿,2397.03亿,966.09亿,,,446.86亿,14.32亿,371.63亿,False,371.63亿,23.12亿,14.53亿,False,14.53亿,572.35亿,8.48亿,189.23亿,461.18亿,1825.69亿,,False,84.27亿,31.22亿,16.50亿,8625.20万,699.25亿,699.25亿,342.56亿,235.90亿,106.66亿,177.30亿,6591.40万,1.63亿,25.32亿,198.21亿,1633.74亿,3459.43亿,,101.79亿,6025.40万,False,960.35亿,29.47亿,930.88亿,False,253.95亿,66.93亿,18.97亿,626.72亿,False,3.85亿,622.87亿,93.46亿,20.44亿,2179.30亿,,105.21亿,False,False,False,8.04亿,89.19亿,217.73亿,2397.03亿,,29.11亿,608.86亿,18.10亿,-1.48亿,50.09亿,297.46亿,966.09亿,96.31亿,1062.40亿,3459.43亿
2022-03-31,,1053.72亿,3170.74亿,2117.02亿,958.45亿,,,421.82亿,15.91亿,349.95亿,False,349.95亿,27.77亿,13.17亿,False,False,534.33亿,8.97亿,121.94亿,437.73亿,1742.05亿,,False,89.71亿,32.28亿,3.12亿,8687.60万,619.87亿,False,279.64亿,False,False,159.09亿,6591.40万,1.31亿,23.60亿,159.75亿,1428.69亿,3170.74亿,,54.81亿,396.50万,False,891.17亿,48.42亿,842.75亿,80.00万,219.22亿,60.58亿,23.28亿,513.88亿,False,False,False,85.60亿,19.74亿,1895.84亿,,103.20亿,20.64亿,False,False,5.80亿,73.89亿,221.18亿,2117.02亿,,29.11亿,608.20亿,False,-1.76亿,50.09亿,272.64亿,958.45亿,95.27亿,1053.72亿,3170.74亿
2021-12-31,,1042.44亿,2957.80亿,1915.36亿,950.70亿,,,504.57亿,56.06亿,362.51亿,False,362.51亿,20.37亿,14.11亿,1.37亿,12.74亿,433.55亿,False,85.25亿,560.63亿,1661.10亿,,False,79.05亿,29.14亿,2.34亿,8750.00万,612.21亿,612.21亿,202.77亿,142.46亿,60.31亿,171.05亿,6591.40万,7743.20万,19.13亿,125.21亿,1296.70亿,2957.80亿,,102.04亿,False,False,804.92亿,73.31亿,731.60亿,130.00万,149.33亿,58.49亿,17.79亿,413.48亿,False,False,413.48亿,129.83亿,13.59亿,1713.04亿,,87.44亿,20.46亿,False,False,6.10亿,74.17亿,202.32亿,1915.36亿,,29.11亿,608.07亿,False,-1.24亿,50.09亿,264.56亿,950.70亿,91.75亿,1042.44亿,2957.80亿
2021-09-30,,911.83亿,2518.61亿,1606.78亿,824.72亿,,,361.75亿,286.90万,371.99亿,False,371.99亿,14.85亿,10.62亿,9083.50万,False,406.99亿,12.37亿,96.04亿,361.78亿,1453.34亿,,False,58.64亿,12.10亿,6.54亿,8812.30万,551.38亿,False,137.51亿,False,False,149.79亿,6591.40万,5538.40万,13.53亿,87.80亿,1065.27亿,2518.61亿,,154.85亿,18.50万,False,625.17亿,79.81亿,545.36亿,120.00万,123.68亿,51.30亿,15.41亿,266.06亿,2.22亿,73.70万,False,146.23亿,10.60亿,1415.37亿,,105.84亿,19.97亿,False,False,3.71亿,52.50亿,191.41亿,1606.78亿,,28.61亿,495.57亿,False,-8.19亿,44.48亿,264.15亿,824.72亿,87.11亿,911.83亿,2518.61亿
2021-06-30,,892.85亿,2228.95亿,1336.09亿,812.55亿,,,217.89亿,False,379.82亿,False,379.82亿,14.27亿,10.81亿,4292.30万,10.38亿,396.86亿,12.85亿,95.12亿,217.89亿,1291.73亿,,False,56.65亿,12.64亿,5.81亿,8874.70万,543.16亿,543.16亿,102.74亿,51.04亿,51.70亿,149.70亿,6591.40万,5711.80万,15.98亿,1.09亿,937.22亿,2228.95亿,,112.57亿,2735.50万,False,563.76亿,89.62亿,474.14亿,210.00万,103.95亿,45.04亿,17.82亿,117.21亿,2.27亿,6.09亿,108.84亿,142.60亿,False,1124.17亿,,101.99亿,44.90亿,False,False,3.25亿,51.11亿,211.93亿,1336.09亿,,28.61亿,495.29亿,False,-7.38亿,44.48亿,251.45亿,812.55亿,80.30亿,892.85亿,2228.95亿
