报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-09-30,,242.32亿,5662.66亿,5504.84亿,233.33亿,204.90亿,,5662.66亿,5662.66亿,5504.84亿,4650.54亿,89.15亿,185.08亿,152.68亿,437.48亿,-29.36亿,17.32亿,18.54亿,16.17亿,3.10亿,5.57亿,20.40亿,7.59亿,1123.80万,105.16亿,289.06亿,10.66亿,False,13.12亿,False,286.60亿,44.28亿,242.32亿,242.32亿,233.33亿,8.98亿,204.90亿,,2.56,2.56,20.72亿,20.80亿,263.04亿,254.13亿,8.91亿
2025-06-30,,160.39亿,3712.81亿,3609.15亿,155.11亿,136.00亿,,3712.81亿,3712.81亿,3609.15亿,3044.15亿,59.96亿,124.11亿,103.86亿,295.96亿,-32.47亿,9.72亿,10.78亿,12.54亿,1.03亿,3.73亿,13.76亿,6.55亿,-1763.30万,66.22亿,187.20亿,8.05亿,False,6.15亿,False,189.10亿,28.71亿,160.39亿,160.39亿,155.11亿,5.28亿,136.00亿,,1.71,1.71,8.56亿,8.51亿,168.95亿,163.61亿,5.34亿
2025-03-31,,94.43亿,1703.60亿,1635.84亿,91.55亿,81.72亿,,1703.60亿,1703.60亿,1635.84亿,1361.75亿,32.73亿,61.81亿,49.06亿,142.23亿,-19.08亿,6.01亿,5.74亿,7.10亿,2369.40万,2.46亿,6.97亿,3.77亿,294.20万,32.98亿,110.21亿,5.86亿,False,4.16亿,False,111.91亿,17.48亿,94.43亿,94.43亿,91.55亿,2.88亿,81.72亿,,3.12,3.12,-2.42亿,-2.43亿,92.01亿,89.12亿,2.89亿
2024-12-31,,415.88亿,7771.02亿,7433.65亿,402.54亿,369.83亿,,7771.02亿,7771.02亿,7433.65亿,6260.47亿,147.52亿,240.85亿,186.45亿,531.95亿,12.16亿,20.94亿,24.84亿,38.72亿,15.53亿,5.32亿,22.91亿,14.69亿,-1.27亿,140.52亿,504.86亿,12.52亿,False,20.57亿,False,496.81亿,80.93亿,415.88亿,415.88亿,402.54亿,13.34亿,369.83亿,,13.84,13.84,8.43亿,8.37亿,424.31亿,410.91亿,13.40亿
2024-09-30,,262.48亿,5022.51亿,4817.75亿,252.38亿,231.92亿,,5022.51亿,5022.51亿,4817.75亿,4052.32亿,93.99亿,166.42亿,124.09亿,333.19亿,10.27亿,16.72亿,17.42亿,24.99亿,12.47亿,3.96亿,18.59亿,13.51亿,-3750.60万,90.52亿,317.47亿,7.33亿,False,11.60亿,False,313.20亿,50.72亿,262.48亿,262.48亿,252.38亿,10.09亿,231.92亿,,2.89,2.89,-4956.30万,-4120.10万,261.98亿,251.97亿,10.01亿
2024-06-30,,141.13亿,3011.27亿,2901.76亿,136.31亿,123.15亿,,3011.27亿,3011.27亿,2901.76亿,2445.77亿,52.94亿,106.00亿,76.95亿,196.21亿,6900.60万,11.16亿,11.93亿,15.31亿,7.90亿,3.48亿,12.09亿,9.14亿,-840.90万,48.24亿,173.23亿,4.77亿,False,5.72亿,False,172.28亿,31.15亿,141.13亿,141.13亿,136.31亿,4.82亿,123.15亿,,1.56,1.56,-5.12亿,-5.15亿,136.01亿,131.16亿,4.85亿
2024-03-31,,47.71亿,1249.44亿,1217.03亿,45.69亿,37.52亿,,1249.44亿,1249.44亿,1217.03亿,990.74亿,21.41亿,53.33亿,37.69亿,106.11亿,-1.94亿,5.80亿,5.95亿,6.43亿,3.26亿,1.43亿,6.22亿,4.57亿,-429.30万,17.96亿,57.98亿,2.47亿,False,3.29亿,False,57.17亿,9.46亿,47.71亿,47.71亿,45.69亿,2.02亿,37.52亿,,1.57,1.57,-4.25亿,-4.26亿,43.45亿,41.43亿,2.02亿
2023-12-31,,313.44亿,6023.15亿,5714.49亿,300.41亿,284.62亿,,6023.15亿,6023.15亿,5714.49亿,4903.99亿,103.50亿,153.71亿,134.62亿,395.75亿,-14.75亿,18.28亿,27.96亿,21.88亿,15.80亿,2.58亿,16.35亿,12.77亿,9036.40万,52.53亿,381.03亿,7.11亿,False,15.46亿,False,372.69亿,59.25亿,313.44亿,313.44亿,300.41亿,13.03亿,284.62亿,,10.32,10.32,1.84亿,1.75亿,315.28亿,302.16亿,13.12亿
2023-09-30,,223.26亿,4222.75亿,3998.23亿,213.67亿,193.49亿,,4222.75亿,4222.75亿,3998.23亿,3387.27亿,74.96亿,172.27亿,102.80亿,249.38亿,-12.72亿,13.47亿,18.49亿,14.05亿,10.21亿,2.67亿,9.75亿,9.60亿,1.23亿,28.20亿,266.37亿,4.89亿,False,10.61亿,False,260.65亿,37.39亿,223.26亿,223.26亿,213.67亿,9.60亿,193.49亿,,7.35,7.35,6466.90万,5671.50万,223.91亿,214.24亿,9.67亿
2023-06-30,,114.40亿,2601.24亿,2490.04亿,109.54亿,96.95亿,,2601.24亿,2601.24亿,2490.04亿,2124.52亿,46.48亿,108.38亿,68.19亿,138.35亿,-11.03亿,9.77亿,11.68亿,9.05亿,6.11亿,8689.60万,5.91亿,5.98亿,7577.40万,18.58亿,137.31亿,3.06亿,False,6.37亿,False,134.00亿,19.60亿,114.40亿,114.40亿,109.54亿,4.86亿,96.95亿,,3.77,3.77,4.51亿,4.42亿,118.90亿,113.96亿,4.94亿
2023-03-31,,43.70亿,1201.74亿,1159.31亿,41.30亿,35.65亿,,1201.74亿,1201.74亿,1159.31亿,987.07亿,22.45亿,46.48亿,33.66亿,62.38亿,591.00万,3.07亿,5.40亿,4.92亿,2.30亿,8065.90万,2.45亿,2.15亿,4202.20万,6.88亿,52.99亿,1.42亿,False,2.23亿,False,52.17亿,8.47亿,43.70亿,43.70亿,41.30亿,2.40亿,35.65亿,,1.42,1.42,7837.20万,7180.50万,44.48亿,42.02亿,2.46亿
