报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,划分为持有待售的资产,一年内到期的非流动资产,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,长期股权投资,其他权益工具投资,其他非流动金融资产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,长期应付款合计,其中：长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025-09-30,,3470.12亿,8960.82亿,5490.70亿,3142.48亿,,,3242.42亿,432.61亿,669.00亿,4.19亿,664.81亿,135.57亿,28.62亿,False,False,802.12亿,False,9861.60万,105.79亿,3675.02亿,5742.28亿,,False,598.32亿,170.41亿,34.65亿,1286.23亿,False,False,373.66亿,False,150.25亿,8.91亿,49.09亿,285.43亿,239.37亿,3218.54亿,8960.82亿,,153.14亿,False,False,2149.26亿,829.68亿,1319.58亿,False,406.78亿,218.22亿,88.52亿,93.58亿,False,9800.00万,False,250.05亿,49.85亿,3409.40亿,,784.42亿,84.22亿,15.20亿,False,False,858.43亿,22.61亿,252.24亿,47.40亿,2081.30亿,5490.70亿,,45.63亿,1563.66亿,70.98亿,63.91亿,22.73亿,1517.15亿,3142.48亿,327.64亿,3470.12亿,8960.82亿
2025-06-30,,3243.89亿,8671.81亿,5427.92亿,2949.23亿,,,3505.78亿,224.47亿,641.15亿,3.15亿,638.00亿,97.53亿,23.02亿,False,22.24亿,722.72亿,False,8801.90万,94.11亿,3730.25亿,5677.00亿,,False,576.37亿,115.75亿,30.42亿,1186.97亿,1186.97亿,False,350.86亿,350.86亿,146.85亿,8.93亿,43.01亿,269.65亿,254.15亿,2994.81亿,8671.81亿,,190.09亿,False,1.85亿,2103.89亿,769.69亿,1334.20亿,False,366.42亿,201.16亿,86.44亿,114.82亿,False,11.08亿,103.74亿,260.32亿,35.07亿,3360.05亿,,824.16亿,119.71亿,16.40亿,16.40亿,False,801.37亿,11.40亿,236.83亿,49.77亿,2067.87亿,5427.92亿,,45.59亿,1543.14亿,42.63亿,8.60亿,22.73亿,1371.47亿,2949.23亿,294.66亿,3243.89亿,8671.81亿
2025-03-31,,2891.39亿,8200.97亿,5309.58亿,2615.58亿,,,3213.24亿,214.22亿,603.51亿,1.68亿,601.82亿,74.18亿,21.25亿,False,False,656.40亿,False,7804.00万,77.69亿,3427.45亿,5302.99亿,,False,564.83亿,115.86亿,31.39亿,1121.43亿,False,False,352.22亿,False,144.97亿,8.94亿,43.73亿,253.03亿,251.37亿,2897.99亿,8200.97亿,,157.82亿,False,9.00亿,2085.07亿,798.44亿,1286.62亿,False,370.89亿,203.20亿,95.61亿,101.70亿,False,False,False,230.13亿,28.67亿,3282.09亿,,848.26亿,119.14亿,16.56亿,False,False,735.08亿,12.10亿,238.48亿,52.16亿,2027.49亿,5309.58亿,,44.03亿,1168.58亿,27.11亿,1.32亿,21.95亿,1406.33亿,2615.58亿,275.82亿,2891.39亿,8200.97亿
2024-12-31,,2734.56亿,7866.58亿,5132.02亿,2469.30亿,,,3035.12亿,142.82亿,642.66亿,1.30亿,641.36亿,59.70亿,22.07亿,False,False,598.36亿,False,7297.20万,62.86亿,3177.94亿,5101.42亿,,False,547.92亿,119.01亿,31.36亿,1125.89亿,False,False,297.55亿,False,144.20亿,8.95亿,45.94亿,241.19亿,192.75亿,2765.16亿,7866.58亿,,196.96亿,False,21.16亿,1983.34亿,673.56亿,1309.77亿,False,278.34亿,186.53亿,94.36亿,161.62亿,False,54.00亿,False,228.81亿,20.58亿,3171.72亿,,812.38亿,119.23亿,16.06亿,False,False,719.27亿,12.31亿,220.41亿,54.01亿,1960.30亿,5132.02亿,,44.03亿,1167.56亿,27.13亿,-3.49亿,21.95亿,1266.02亿,2469.30亿,265.26亿,2734.56亿,7866.58亿
2024-09-30,,2633.01亿,7382.35亿,4749.34亿,2369.56亿,,,2646.76亿,220.02亿,669.95亿,2.92亿,667.03亿,68.87亿,34.44亿,False,False,552.15亿,False,2.01亿,65.78亿,2866.78亿,4667.65亿,,False,541.75亿,130.25亿,29.81亿,1106.53亿,False,False,252.01亿,False,144.48亿,8.84亿,45.29亿,221.21亿,224.28亿,2714.70亿,7382.35亿,,152.39亿,False,24.99亿,1867.92亿,636.52亿,1231.40亿,False,226.52亿,173.69亿,81.44亿,93.67亿,False,2272.20万,False,160.82亿,29.27亿,2810.71亿,,854.44亿,121.05亿,15.95亿,False,False,654.30亿,11.81亿,219.00亿,54.92亿,1938.64亿,4749.34亿,,44.02亿,1151.37亿,27.76亿,7.86亿,21.93亿,1171.81亿,2369.56亿,263.44亿,2633.01亿,7382.35亿
2024-06-30,,2198.40亿,7152.52亿,4954.12亿,1962.31亿,,,2550.02亿,173.01亿,583.28亿,2.28亿,580.99亿,78.26亿,41.16亿,False,28.69亿,480.51亿,False,2.30亿,70.31亿,2723.03亿,4421.17亿,,False,521.21亿,126.86亿,27.88亿,1131.43亿,1131.43亿,False,272.57亿,272.57亿,157.18亿,8.91亿,50.00亿,208.93亿,216.94亿,2731.35亿,7152.52亿,,180.49亿,False,43.63亿,1830.32亿,660.52亿,1169.80亿,False,224.63亿,165.97亿,60.94亿,106.15亿,False,2464.31万,105.90亿,71.24亿,24.96亿,2708.32亿,,888.20亿,194.15亿,16.52亿,16.52亿,False,591.66亿,10.90亿,212.42亿,325.48亿,2245.80亿,4954.12亿,,43.99亿,886.44亿,25.11亿,-5.46亿,21.93亿,1040.32亿,1962.31亿,236.08亿,2198.40亿,7152.52亿
2024-03-31,,2304.68亿,7312.86亿,5008.18亿,2077.30亿,,,2885.72亿,1.67亿,520.04亿,8.17亿,511.87亿,78.87亿,32.40亿,False,False,439.79亿,False,2.51亿,73.32亿,2887.39亿,4599.56亿,,False,505.86亿,132.94亿,27.73亿,1144.99亿,False,False,262.16亿,False,155.82亿,8.88亿,49.58亿,194.35亿,224.83亿,2713.30亿,7312.86亿,,165.35亿,False,47.55亿,1851.39亿,726.32亿,1125.07亿,False,206.00亿,166.30亿,122.77亿,120.94亿,False,697.55万,False,82.63亿,26.69亿,2789.62亿,,884.45亿,192.36亿,16.70亿,False,False,572.96亿,12.41亿,217.67亿,318.66亿,2218.56亿,5008.18亿,,43.99亿,882.14亿,19.66亿,11.03亿,21.93亿,1137.75亿,2077.30亿,227.39亿,2304.68亿,7312.86亿
2023-12-31,,2198.83亿,7171.68亿,4972.85亿,1977.08亿,,,2643.07亿,776.70万,657.72亿,17.52亿,640.21亿,69.63亿,34.39亿,False,30.13亿,454.34亿,False,5682.80万,82.86亿,2643.14亿,4497.88亿,,False,500.28亿,141.28亿,28.16亿,1153.88亿,1153.88亿,False,250.12亿,250.12亿,156.76亿,7.08亿,46.96亿,173.96亿,211.45亿,2673.80亿,7171.68亿,,151.81亿,False,39.41亿,1945.54亿,775.15亿,1170.39亿,False,239.82亿,148.46亿,117.42亿,136.54亿,False,2991.60万,136.24亿,70.09亿,20.92亿,2870.01亿,,834.49亿,192.37亿,15.20亿,15.20亿,False,516.39亿,13.65亿,214.49亿,313.41亿,2102.84亿,4972.85亿,,43.99亿,879.07亿,15.73亿,15.28亿,21.93亿,1032.45亿,1977.08亿,221.75亿,2198.83亿,7171.68亿
2023-09-30,,2020.57亿,6718.32亿,4697.75亿,1801.14亿,,,2337.60亿,768.08万,702.62亿,15.35亿,687.27亿,89.22亿,37.94亿,False,False,488.84亿,False,6399.62万,72.17亿,2337.68亿,4113.87亿,,False,453.49亿,148.27亿,29.06亿,1042.74亿,False,False,306.50亿,False,165.57亿,7.15亿,45.00亿,145.72亿,253.55亿,2604.46亿,6718.32亿,,113.49亿,False,57.28亿,1900.06亿,790.81亿,1109.25亿,False,265.57亿,141.19亿,62.67亿,158.09亿,False,2609.90万,False,46.37亿,17.25亿,2761.98亿,,854.35亿,196.76亿,15.40亿,False,False,318.14亿,13.82亿,200.48亿,331.33亿,1935.77亿,4697.75亿,,43.97亿,805.71亿,2.49亿,30.09亿,12.14亿,911.65亿,1801.14亿,219.42亿,2020.57亿,6718.32亿
2023-06-30,,1916.83亿,6409.99亿,4493.16亿,1702.19亿,,,2195.82亿,3.71亿,657.38亿,42.21亿,615.17亿,127.46亿,49.75亿,False,45.05亿,489.10亿,False,6694.97万,91.20亿,2199.53亿,3830.61亿,,False,428.21亿,171.65亿,28.94亿,1026.94亿,1026.94亿,False,326.70亿,326.70亿,156.07亿,7.15亿,43.37亿,125.93亿,257.35亿,2579.38亿,6409.99亿,,166.57亿,False,47.62亿,1876.34亿,867.01亿,1009.33亿,False,221.34亿,122.55亿,58.90亿,156.84亿,False,3659.90万,156.47亿,41.03亿,17.85亿,2709.04亿,,749.10亿,197.93亿,12.00亿,12.00亿,False,263.56亿,14.65亿,205.35亿,336.14亿,1784.12亿,4493.16亿,,43.96亿,799.10亿,2.49亿,40.02亿,12.14亿,809.43亿,1702.19亿,214.64亿,1916.83亿,6409.99亿
