报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2025-09-30,,270.24亿,806.60亿,-572.91亿,42.77亿,2971.84亿,,,3381.27亿,63.21亿,186.09亿,3630.57亿,2241.21亿,234.13亿,267.43亿,81.19亿,2823.96亿,806.60亿,,44.43亿,19.43亿,6810.90万,2741.10万,1969.10万,65.01亿,300.88亿,315.40亿,20.45亿,1.20亿,637.93亿,-572.91亿,,432.72亿,54.89亿,305.98亿,11.25亿,749.96亿,322.37亿,335.59亿,17.14亿,49.23亿,707.19亿,42.77亿,-6.21亿,270.24亿,2701.60亿,2971.84亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2025-06-30,,536.25亿,586.87亿,-262.70亿,206.08亿,3237.85亿,,,2229.32亿,33.45亿,121.60亿,2384.37亿,1399.70亿,164.08亿,188.05亿,45.68亿,1797.50亿,586.87亿,,20.26亿,17.98亿,5176.30万,False,False,38.76亿,202.13亿,98.18亿,False,1.15亿,301.45亿,-262.70亿,,404.70亿,27.81亿,240.37亿,1.53亿,646.60亿,151.14亿,272.20亿,6.06亿,17.18亿,440.52亿,206.08亿,6.00亿,536.25亿,2701.60亿,3237.85亿,,,323.65亿,28.50亿,114.61亿,2.45亿,6.68亿,-6217.80万,9138.50万,-1.78亿,-7.74亿,-28.76亿,-28.46亿,-9099.00万,-136.22亿,121.27亿,191.15亿,2.15亿,586.87亿,,,3237.85亿,2701.60亿,536.25亿
2025-03-31,,161.41亿,328.68亿,-177.71亿,7.01亿,2863.01亿,,,1111.40亿,13.95亿,65.72亿,1191.07亿,695.77亿,71.90亿,71.21亿,23.51亿,862.39亿,328.68亿,,15.98亿,1.83亿,3026.00万,False,False,18.12亿,103.43亿,91.32亿,False,1.08亿,195.82亿,-177.71亿,,2.36亿,2.36亿,114.33亿,1.19亿,117.88亿,49.11亿,61.04亿,9800.00万,7092.50万,110.86亿,7.01亿,3.42亿,161.41亿,2701.60亿,2863.01亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-12-31,,319.94亿,969.90亿,-488.75亿,-145.24亿,2701.60亿,,,4175.25亿,105.06亿,168.48亿,4448.79亿,2854.56亿,255.00亿,285.29亿,84.05亿,3478.89亿,969.90亿,,20.29亿,18.38亿,7511.00万,False,9.64亿,49.06亿,311.80亿,221.69亿,2.44亿,1.88亿,537.81亿,-488.75亿,,25.60亿,19.60亿,305.40亿,2.92亿,333.93亿,199.72亿,258.07亿,4.96亿,21.37亿,479.17亿,-145.24亿,-15.97亿,319.94亿,2381.65亿,2701.60亿,,,540.07亿,84.23亿,226.77亿,4.70亿,17.90亿,-1931.90万,2.57亿,-6.64亿,51.66亿,-43.85亿,-67.00亿,3.20亿,-166.07亿,6.35亿,312.07亿,-4.60亿,969.90亿,,,2701.60亿,2381.65亿,319.94亿
2024-09-30,,-32.12亿,674.44亿,-478.94亿,-204.96亿,2349.54亿,,,3175.40亿,81.75亿,108.28亿,3365.43亿,2206.37亿,193.29亿,232.35亿,58.99亿,2690.99亿,674.44亿,,5.13亿,14.72亿,5563.10万,False,5.26亿,25.66亿,212.68亿,289.51亿,2.41亿,False,504.60亿,-478.94亿,,19.11亿,14.88亿,178.24亿,False,197.34亿,139.52亿,248.59亿,4.96亿,14.20亿,402.30亿,-204.96亿,-22.65亿,-32.12亿,2381.65亿,2349.54亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-06-30,,-111.00亿,447.09亿,-348.78亿,-191.76亿,2270.66亿,,,2100.79亿,56.05亿,73.81亿,2230.65亿,1442.51亿,131.96亿,179.03亿,30.07亿,1783.56亿,447.09亿,,3.16亿,2.25亿,1775.40万,False,5.29亿,10.89亿,138.30亿,219.06亿,2.31亿,False,359.67亿,-348.78亿,,4.23亿,4.23亿,155.88亿,False,160.11亿,101.35亿,238.97亿,4588.00万,11.55亿,351.87亿,-191.76亿,-17.54亿,-111.00亿,2381.65亿,2270.66亿,,,248.79亿,23.43亿,113.60亿,2.15亿,6.48亿,-1104.60万,4164.80万,2433.20万,37.07亿,-20.77亿,-34.97亿,-2.75亿,-34.21亿,206.08亿,-101.02亿,2.66亿,447.09亿,,,2270.66亿,2381.65亿,-111.00亿
2024-03-31,,249.43亿,283.58亿,-79.08亿,55.04亿,2631.08亿,,,1024.14亿,31.87亿,45.65亿,1101.65亿,689.70亿,56.33亿,57.18亿,14.86亿,818.07亿,283.58亿,,1.36亿,3393.40万,1495.20万,False,1111.10万,1.96亿,70.82亿,7074.70万,2.11亿,7.41亿,81.04亿,-79.08亿,,8989.90万,8989.90万,119.21亿,False,120.11亿,50.91亿,8.13亿,2294.00万,6.03亿,65.06亿,55.04亿,-10.12亿,249.43亿,2381.65亿,2631.08亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-12-31,,805.36亿,928.26亿,-291.88亿,147.16亿,2381.65亿,,,4179.43亿,127.40亿,157.25亿,4464.07亿,3105.21亿,211.41亿,171.17亿,48.02亿,3535.81亿,928.26亿,,76.51亿,17.11亿,1285.30万,330.70万,12.40亿,106.19亿,336.25亿,56.50亿,3.21亿,2.10亿,398.06亿,-291.88亿,,33.24亿,29.26亿,465.96亿,3.67亿,502.87亿,237.95亿,94.81亿,4.70亿,22.94亿,355.70亿,147.16亿,21.81亿,805.36亿,1576.29亿,2381.65亿,,,467.61亿,58.54亿,212.16亿,3.31亿,10.99亿,-1698.40万,5555.80万,-4627.00万,30.14亿,-38.26亿,-78.09亿,1.56亿,310.29亿,-341.68亿,290.14亿,-9139.40万,928.26亿,,,2381.65亿,1576.29亿,805.36亿
2023-09-30,,494.96亿,526.54亿,-199.37亿,148.51亿,2071.25亿,,,2986.49亿,101.79亿,100.19亿,3188.48亿,2331.64亿,157.92亿,138.53亿,33.86亿,2661.94亿,526.54亿,,48.04亿,11.98亿,633.95万,False,33.88亿,93.96亿,269.17亿,24.15亿,False,54.73万,293.33亿,-199.37亿,,20.11亿,18.76亿,399.35亿,1.04亿,420.50亿,182.89亿,88.61亿,4.70亿,4902.04万,271.99亿,148.51亿,19.29亿,494.96亿,1576.29亿,2071.25亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-06-30,,346.74亿,370.70亿,-121.17亿,61.86亿,1923.03亿,,,2024.47亿,66.19亿,70.66亿,2161.33亿,1566.80亿,109.78亿,93.93亿,20.12亿,1790.63亿,370.70亿,,43.25亿,6.51亿,False,False,31.57亿,81.32亿,184.53亿,17.97亿,False,False,202.50亿,-121.17亿,,15.60亿,15.60亿,234.08亿,False,249.68亿,109.70亿,75.72亿,6132.82万,2.41亿,187.82亿,61.86亿,35.35亿,346.74亿,1576.29亿,1923.03亿,,,214.73亿,16.82亿,95.28亿,1.43亿,4.97亿,-832.74万,3035.35万,-2.13亿,3.46亿,-14.18亿,-31.10亿,-3.43亿,265.30亿,-76.85亿,-106.88亿,3.05亿,370.70亿,,,1923.03亿,1576.29亿,346.74亿
