日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,300750,266.25,258.78,266.3,257.0,233546,6090661831.0,3.5,-2.71,-7.22,0.6
2025-01-03,300750,258.78,257.63,263.0,257.21,185238,4812148522.0,2.24,-0.44,-1.15,0.47
2025-01-06,300750,258.0,256.75,260.0,253.0,172891,4433101113.0,2.72,-0.34,-0.88,0.44
2025-01-07,300750,243.0,249.45,252.0,241.08,401036,9934923663.0,4.25,-2.84,-7.3,1.03
2025-01-08,300750,245.99,245.34,248.31,243.32,271858,6681628785.0,2.0,-1.65,-4.11,0.7
2025-01-09,300750,241.35,247.33,250.25,241.16,169329,4168600175.0,3.71,0.81,1.99,0.43
2025-01-10,300750,246.5,246.0,249.95,244.68,147294,3643092329.0,2.13,-0.54,-1.33,0.38
2025-01-13,300750,243.5,246.91,250.0,242.0,180922,4467775090.0,3.25,0.37,0.91,0.46
2025-01-14,300750,247.71,256.2,257.0,245.21,202467,5108567634.0,4.78,3.76,9.29,0.52
2025-01-15,300750,256.2,250.87,256.4,249.67,150627,3798504600.0,2.63,-2.08,-5.33,0.39
2025-01-16,300750,252.0,249.93,254.6,248.26,161884,4056598313.0,2.53,-0.37,-0.94,0.41
2025-01-17,300750,248.5,251.5,253.5,248.08,111066,2786220135.0,2.17,0.63,1.57,0.28
2025-01-20,300750,256.5,265.52,267.61,256.31,342835,9048642227.0,4.49,5.57,14.02,0.88
2025-01-21,300750,268.5,264.18,268.76,263.22,138933,3681448144.0,2.09,-0.5,-1.34,0.36
2025-01-22,300750,262.0,258.0,264.9,254.21,250407,6440345376.0,4.05,-2.34,-6.18,0.64
2025-01-23,300750,259.85,257.5,262.5,256.98,165537,4291744662.0,2.14,-0.19,-0.5,0.42
2025-01-24,300750,256.01,260.62,264.78,256.01,224398,5876198259.0,3.41,1.21,3.12,0.58
2025-01-27,300750,260.63,257.0,262.97,257.0,171026,4460049868.0,2.29,-1.39,-3.62,0.44
2025-02-05,300750,260.0,252.12,262.0,251.05,240481,6141794779.0,4.26,-1.9,-4.88,0.62
2025-02-06,300750,251.0,253.1,253.49,249.2,248961,6261792979.0,1.7,0.39,0.98,0.64
2025-02-07,300750,257.0,261.28,262.56,251.62,344413,8922582684.0,4.32,3.23,8.18,0.88
2025-02-10,300750,261.28,258.45,261.47,255.18,229267,5928297100.0,2.41,-1.08,-2.83,0.59
2025-02-11,300750,260.44,251.8,260.5,251.06,247920,6268157349.0,3.65,-2.57,-6.65,0.64
2025-02-12,300750,250.01,255.3,256.0,247.08,273822,6902713445.0,3.54,1.39,3.5,0.7
2025-02-13,300750,255.99,261.39,263.99,255.1,375350,9803005760.0,3.48,2.39,6.09,0.96
2025-02-14,300750,261.53,269.71,273.0,261.53,387800,10409880413.0,4.39,3.18,8.32,0.99
2025-02-17,300750,274.9,269.4,274.9,266.02,241830,6513084025.0,3.29,-0.11,-0.31,0.62
2025-02-18,300750,272.96,270.77,275.5,269.0,238458,6497674092.0,2.41,0.51,1.37,0.61
2025-02-19,300750,268.57,273.55,276.0,268.55,204455,5580141095.0,2.75,1.03,2.78,0.52
2025-02-20,300750,272.8,270.2,272.8,267.0,195890,5267400818.0,2.12,-1.22,-3.35,0.5
2025-02-21,300750,268.58,275.55,276.88,267.78,309519,8443562273.0,3.37,1.98,5.35,0.79
2025-02-24,300750,273.01,271.5,274.7,268.16,277538,7510840227.0,2.37,-1.47,-4.05,0.71
2025-02-25,300750,267.48,269.48,274.0,264.51,232094,6243748571.0,3.5,-0.74,-2.02,0.59
2025-02-26,300750,271.45,268.62,272.88,267.18,211731,5698649749.0,2.12,-0.32,-0.86,0.54
2025-02-27,300750,270.27,270.0,271.7,267.67,231851,6250587949.0,1.5,0.51,1.38,0.59
2025-02-28,300750,269.6,264.3,271.31,263.61,222655,5935077344.0,2.85,-2.11,-5.7,0.57
2025-03-03,300750,265.0,273.53,279.3,262.24,387364,10603328988.0,6.45,3.49,9.23,0.99
2025-03-04,300750,270.0,263.0,271.0,262.73,268365,7115460892.0,3.02,-3.85,-10.53,0.69
2025-03-05,300750,263.0,260.99,263.89,258.5,208696,5438997025.0,2.05,-0.76,-2.01,0.53
2025-03-06,300750,262.25,264.31,265.53,261.0,250273,6601078271.0,1.74,1.27,3.32,0.64
2025-03-07,300750,262.96,260.76,263.58,258.68,222871,5812794648.0,1.85,-1.34,-3.55,0.57
2025-03-10,300750,261.8,256.5,261.86,253.61,286751,7355227161.0,3.16,-1.63,-4.26,0.73
2025-03-11,300750,253.07,255.2,255.5,253.05,171351,4355529582.0,0.96,-0.51,-1.3,0.44
2025-03-12,300750,256.01,254.5,256.62,251.49,199147,5058919203.0,2.01,-0.27,-0.7,0.51
2025-03-13,300750,254.0,253.22,259.2,253.0,168852,4316530458.0,2.44,-0.5,-1.28,0.43
2025-03-14,300750,253.0,262.0,264.85,252.65,351089,9148092796.0,4.82,3.47,8.78,0.9
2025-03-17,300750,263.1,256.0,265.47,255.74,335155,8685706367.0,3.71,-2.29,-6.0,0.86
2025-03-18,300750,258.0,257.0,260.78,255.5,225767,5817534421.0,2.06,0.39,1.0,0.58
2025-03-19,300750,257.2,265.39,266.97,256.78,369541,9737109378.0,3.96,3.26,8.39,0.95
2025-03-20,300750,265.39,262.15,266.5,261.02,144247,3794188019.0,2.06,-1.22,-3.24,0.37
2025-03-21,300750,262.68,256.0,264.53,255.67,194320,5026360931.0,3.38,-2.35,-6.15,0.5
2025-03-24,300750,257.7,258.16,258.98,256.28,167302,4311680872.0,1.05,0.84,2.16,0.43
2025-03-25,300750,257.71,259.48,260.0,255.29,127858,3303477319.0,1.82,0.51,1.32,0.33
2025-03-26,300750,259.4,256.92,262.7,256.7,129046,3336108307.0,2.31,-0.99,-2.56,0.33
2025-03-27,300750,256.19,258.88,262.8,254.25,141792,3675726420.0,3.33,0.76,1.96,0.36
2025-03-28,300750,256.11,256.8,258.88,255.8,112421,2888588257.0,1.19,-0.8,-2.08,0.29
2025-03-31,300750,256.06,252.94,257.98,252.12,194634,4951863265.0,2.28,-1.5,-3.86,0.5
2025-04-01,300750,252.94,249.06,254.5,248.58,194162,4862442756.0,2.34,-1.53,-3.88,0.5
2025-04-02,300750,250.2,249.14,252.46,247.56,137321,3433096886.0,1.97,0.03,0.08,0.35
2025-04-03,300750,245.0,243.08,247.7,242.55,232816,5693962717.0,2.07,-2.43,-6.06,0.6
2025-04-07,300750,226.09,215.22,230.0,209.11,723646,15811389636.0,8.59,-11.46,-27.86,1.85
2025-04-08,300750,219.95,219.05,225.0,216.4,476594,10471952816.0,4.0,1.78,3.83,1.22
2025-04-09,300750,212.92,211.39,218.75,210.09,536023,11459705354.0,3.95,-3.5,-7.66,1.37
2025-04-10,300750,221.0,217.98,222.79,215.46,372741,8168675412.0,3.47,3.12,6.59,0.96
2025-04-11,300750,216.0,224.0,225.55,214.7,302991,6696905324.0,4.98,2.76,6.02,0.78
2025-04-14,300750,227.15,224.0,228.0,222.68,206965,4642121045.0,2.38,0.0,0.0,0.53
2025-04-15,300750,226.0,228.15,230.45,225.12,266865,6087451729.0,2.38,1.85,4.15,0.68
2025-04-16,300750,227.0,224.89,227.18,221.55,216551,4838764472.0,2.47,-1.43,-3.26,0.55
2025-04-17,300750,223.0,226.0,227.33,222.22,157377,3551280611.0,2.27,0.49,1.11,0.4
2025-04-18,300750,225.21,225.46,226.5,223.66,115128,2588857714.0,1.26,-0.24,-0.54,0.3
2025-04-21,300750,225.46,231.36,235.0,224.18,220082,5088523082.0,4.8,2.62,5.9,0.56
2025-04-22,300750,230.0,230.69,231.16,227.2,169354,3885729764.0,1.71,-0.29,-0.67,0.43
2025-04-23,300750,235.0,233.35,238.75,233.0,191980,4507058716.0,2.49,1.15,2.66,0.49
2025-04-24,300750,234.5,236.87,238.66,232.25,181554,4297351278.0,2.75,1.51,3.52,0.47
2025-04-25,300750,237.2,236.6,237.92,235.09,127620,3016796564.0,1.19,-0.11,-0.27,0.33
2025-04-28,300750,238.25,234.85,238.26,233.2,143124,3357178149.0,2.14,-0.74,-1.75,0.37
2025-04-29,300750,234.0,232.03,234.8,230.72,167424,3892978723.0,1.74,-1.2,-2.82,0.43
2025-04-30,300750,233.05,231.5,234.38,231.5,156328,3635403837.0,1.24,-0.23,-0.53,0.4
2025-05-06,300750,233.91,231.63,236.3,231.2,196877,4591289270.0,2.2,0.06,0.13,0.5
2025-05-07,300750,236.45,238.61,240.88,236.08,312810,7444719326.0,2.07,3.01,6.98,0.8
2025-05-08,300750,239.49,244.57,248.68,237.98,312856,7666995082.0,4.48,2.5,5.96,0.8
