日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-10-31,300750,201.0,185.6,201.28,168.81,4436244,82306852597.0,15.99,-8.58,-17.43,11.4
2023-11-30,300750,185.79,167.0,197.1,164.49,4045821,73711885809.0,17.57,-10.02,-18.6,10.39
2023-12-29,300750,167.29,163.26,167.7,146.27,5214934,82469554312.0,12.83,-2.24,-3.74,13.39
2024-01-31,300750,162.22,151.59,162.53,140.4,6069112,92472790403.0,13.56,-7.15,-11.67,15.58
2024-02-29,300750,151.58,163.51,165.0,142.3,4784708,74997126008.0,14.97,7.86,11.92,12.28
2024-03-29,300750,163.53,190.16,195.0,156.65,6208169,111578482924.0,23.45,16.3,26.65,15.94
2024-04-30,300750,194.0,202.6,213.5,186.4,4258413,83662942658.0,14.25,6.54,12.44,10.93
2024-05-31,300750,211.0,197.76,211.7,195.51,3368743,68319058240.0,7.99,-2.39,-4.84,8.65
2024-06-28,300750,197.76,180.03,207.85,178.58,3923667,74429648651.0,14.8,-8.97,-17.73,10.07
2024-07-31,300750,179.19,186.31,194.18,171.17,4078790,74254709573.0,12.78,3.49,6.28,10.47
2024-08-30,300750,185.0,184.34,186.0,166.8,3373423,59771934544.0,10.31,-1.06,-1.97,8.66
2024-09-30,300750,184.44,251.89,255.0,180.02,4886206,100320158938.0,40.67,36.64,67.55,12.52
2024-10-31,300750,296.0,245.98,301.5,229.6,8671834,223424318002.0,28.54,-2.35,-5.91,22.23
2024-11-29,300750,246.53,261.24,288.2,244.0,7409354,196449697305.0,17.97,6.2,15.26,18.99
2024-12-31,300750,258.64,266.0,281.5,255.0,4772798,127230347997.0,10.14,1.82,4.76,12.23
2025-01-27,300750,266.25,257.0,268.76,241.08,3681293,93780250726.0,10.41,-3.38,-9.0,9.43
2025-02-28,300750,260.0,264.3,276.88,247.08,4714033,124578990652.0,11.6,2.84,7.3,12.08
2025-03-31,300750,265.0,252.94,279.3,251.49,4656842,121334302580.0,10.52,-4.3,-11.36,11.93
2025-04-30,300750,252.94,231.5,254.5,209.11,5296649,119987626585.0,17.94,-8.48,-21.44,13.57
2025-05-30,300750,233.91,250.0,279.99,231.2,4799259,123308831131.0,21.08,7.99,18.5,12.3
2025-06-30,300750,252.0,252.22,257.45,238.03,3442438,85642146476.0,7.77,0.89,2.22,8.1
2025-07-31,300750,252.5,264.62,292.2,249.19,5296162,144708943716.0,17.05,4.92,12.4,12.46
2025-08-29,300750,264.8,306.18,316.66,257.72,5866076,163452031408.0,22.27,15.71,41.56,13.8
2025-09-30,300750,306.5,402.0,408.88,299.03,9848383,340468352275.0,35.88,31.3,95.82,23.14
