编号,股东名称,持股数量,持股比例,股本性质,截至日期,公告日期,股东说明,股东总数,平均持股数
1,厦门瑞庭投资有限公司,1024704949.0,22.46,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
2,香港中央结算有限公司,,,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
3,黄世霖,466021310.0,10.21,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.23,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
5,李平,197460277.0,4.33,"流通A股,限售流通股",2025-09-30,2025-10-21,,227474.0,20057.0
6,HKSCC NOMINEES LIMITED,,3.42,流通H股,2025-09-30,2025-10-21,,227474.0,20057.0
7,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,,1.2,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
8,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,,0.99,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
9,本田技研工业(中国)投资有限公司,41400000.0,0.91,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
10,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,,0.71,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
1,厦门瑞庭投资有限公司,1024704949.0,22.47,流通A股,2025-07-10,2025-07-10,,,
2,香港中央结算有限公司,606921205.0,13.31,流通A股,2025-07-10,2025-07-10,,,
3,黄世霖,466021310.0,10.22,流通A股,2025-07-10,2025-07-10,,,
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.23,流通A股,2025-07-10,2025-07-10,,,
5,李平,197460277.0,4.33,"流通A股,限售流通股",2025-07-10,2025-07-10,,,
6,HKSCC NOMINEES LIMITED,155908290.0,3.42,流通H股,2025-07-10,2025-07-10,,,
7,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,64017681.0,1.4,流通A股,2025-07-10,2025-07-10,,,
8,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,46996542.0,1.03,流通A股,2025-07-10,2025-07-10,,,
9,本田技研工业(中国)投资有限公司,41400000.0,0.91,流通A股,2025-07-10,2025-07-10,,,
10,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,33541336.0,0.74,流通A股,2025-07-10,2025-07-10,,,
1,厦门瑞庭投资有限公司,1024704949.0,22.47,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
2,香港中央结算有限公司,606921205.0,13.31,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
3,黄世霖,466021310.0,10.22,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.23,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
5,李平,201510277.0,4.42,"流通A股,限售流通股",2025-06-30,2025-07-31,,226368.0,20146.0
6,HKSCC NOMINEES LIMITED,155908290.0,3.42,流通H股,2025-06-30,2025-07-31,,226368.0,20146.0
7,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,64017681.0,1.4,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
8,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,46996542.0,1.03,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
9,本田技研工业(中国)投资有限公司,41400000.0,0.91,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
10,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,33541336.0,0.74,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
1,厦门瑞庭投资有限公司,1024704949.0,23.27,流通A股,2025-04-03,2025-04-15,,,
2,香港中央结算有限公司,551607462.0,12.53,流通A股,2025-04-03,2025-04-15,,,
3,黄世霖,466021310.0,10.58,"流通A股,限售流通股",2025-04-03,2025-04-15,,,
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.45,流通A股,2025-04-03,2025-04-15,,,
5,李平,201510277.0,4.58,"流通A股,限售流通股",2025-04-03,2025-04-15,,,
6,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,66768761.0,1.52,流通A股,2025-04-03,2025-04-15,,,
7,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,43494125.0,0.99,流通A股,2025-04-03,2025-04-15,,,
8,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2025-04-03,2025-04-15,,,
9,厦门润泰宏裕投资合伙企业(有限合伙),34393473.0,0.78,流通A股,2025-04-03,2025-04-15,,,
10,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,30151782.0,0.68,流通A股,2025-04-03,2025-04-15,,,
1,厦门瑞庭投资有限公司,1024704949.0,23.27,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
2,香港中央结算有限公司,554852594.0,12.6,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
3,黄世霖,466021310.0,10.58,"流通A股,限售流通股",2025-03-31,2025-04-15,,226327.0,19457.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.45,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
5,李平,201510277.0,4.58,"流通A股,限售流通股",2025-03-31,2025-04-15,,226327.0,19457.0
6,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,65667361.0,1.49,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
7,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,43208625.0,0.98,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
8,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
9,厦门润泰宏裕投资合伙企业(有限合伙),34393473.0,0.78,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
10,西藏鸿商资本投资有限公司,30304577.0,0.69,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
1,厦门瑞庭投资有限公司,1024704949.0,23.27,流通A股,2024-12-31,2025-03-15,,212061.0,20765.0
2,香港中央结算有限公司,541541472.0,12.3,流通A股,2024-12-31,2025-03-15,,212061.0,20765.0
3,黄世霖,466021310.0,10.58,"流通A股,限售流通股",2024-12-31,2025-03-15,,212061.0,20765.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.45,流通A股,2024-12-31,2025-03-15,,212061.0,20765.0
