报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,减：营业外支出,其中：非流动资产处置损失,四、利润总额,净利润差额(合计平衡项目),减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-09-30,,522.97亿,2830.72亿,2364.17亿,490.34亿,436.19亿,,2830.72亿,2830.72亿,2364.17亿,2114.27亿,18.43亿,24.09亿,82.32亿,150.68亿,-70.16亿,21.83亿,80.61亿,40.78亿,3.77亿,8.79亿,52.37亿,49.44亿,8921.20万,76.93亿,605.52亿,3.72亿,2.12亿,False,607.12亿,-1000.00,84.16亿,522.97亿,522.97亿,490.34亿,32.63亿,436.19亿,,11.02,11.02,74.55亿,74.38亿,597.52亿,564.72亿,32.80亿
2025-06-30,,323.65亿,1788.86亿,1492.41亿,304.85亿,271.97亿,,1788.86亿,1788.86亿,1492.41亿,1341.24亿,12.46亿,16.21亿,51.28亿,100.95亿,-58.22亿,15.58亿,51.25亿,24.99亿,3.51亿,1.78亿,28.76亿,29.82亿,6217.80万,60.59亿,388.21亿,1.68亿,1.76亿,False,388.12亿,False,64.47亿,323.65亿,323.65亿,304.85亿,18.80亿,271.97亿,,6.92,6.92,13.77亿,13.19亿,337.42亿,318.04亿,19.38亿
2025-03-31,,148.62亿,847.05亿,718.33亿,139.63亿,118.29亿,,847.05亿,847.05亿,718.33亿,640.30亿,5.59亿,8.52亿,26.24亿,48.14亿,-22.88亿,7.83亿,23.84亿,11.10亿,1.32亿,2556.50万,13.39亿,14.70亿,2139.20万,30.83亿,173.40亿,1.08亿,7344.40万,False,173.75亿,False,25.13亿,148.62亿,148.62亿,139.63亿,8.99亿,118.29亿,,3.18,3.18,6.14亿,5.46亿,154.76亿,145.08亿,9.68亿
2024-12-31,,540.07亿,3620.13亿,3126.00亿,507.45亿,449.93亿,,3620.13亿,3620.13亿,3126.00亿,2735.19亿,20.57亿,35.63亿,96.90亿,186.07亿,-41.32亿,38.79亿,95.03亿,84.23亿,8.73亿,6.64亿,39.88亿,37.43亿,1931.90万,99.68亿,640.52亿,1.35亿,10.05亿,False,631.82亿,False,91.75亿,540.07亿,540.07亿,507.45亿,32.62亿,449.93亿,,11.58,11.58,-16.88亿,-18.04亿,523.19亿,489.40亿,33.79亿
2024-09-30,,387.33亿,2590.45亿,2230.15亿,360.01亿,321.76亿,,2590.45亿,2590.45亿,2230.15亿,1943.53亿,15.57亿,26.08亿,67.74亿,130.73亿,-28.94亿,29.66亿,71.27亿,66.52亿,8.92亿,1.90亿,31.27亿,27.13亿,4759.00万,67.31亿,461.26亿,1.43亿,5.48亿,False,457.20亿,False,69.87亿,387.33亿,387.33亿,360.01亿,27.32亿,321.76亿,,8.19,8.18,-5.68亿,-7.49亿,381.65亿,352.52亿,29.13亿
2024-06-30,,248.79亿,1667.67亿,1446.40亿,228.65亿,200.54亿,,1667.67亿,1667.67亿,1446.40亿,1276.57亿,9.74亿,18.66亿,43.91亿,85.92亿,-11.83亿,20.59亿,50.09亿,19.14亿,4.30亿,-2433.20万,20.77亿,19.17亿,1104.60万,53.64亿,295.55亿,8508.40万,1.90亿,False,294.50亿,False,45.71亿,248.79亿,248.79亿,228.65亿,20.14亿,200.54亿,,5.20,5.20,-19.37亿,-20.92亿,229.42亿,207.73亿,21.69亿
2024-03-31,,111.96亿,797.71亿,703.92亿,105.10亿,92.47亿,,797.71亿,797.71亿,703.92亿,612.23亿,5.74亿,8.63亿,23.03亿,43.40亿,3.13亿,10.48亿,26.32亿,5.08亿,2.68亿,-7345.00万,8.18亿,6.66亿,368.80万,32.06亿,133.33亿,2666.30万,1.59亿,False,132.00亿,False,20.05亿,111.96亿,111.96亿,105.10亿,6.86亿,92.47亿,,2.39,2.39,-2.29亿,-4.04亿,109.67亿,101.05亿,8.61亿
2023-12-31,,467.61亿,4009.17亿,3567.19亿,441.21亿,400.92亿,,4009.17亿,4009.17亿,3567.19亿,3239.82亿,16.96亿,30.43亿,84.62亿,183.56亿,-49.28亿,34.47亿,83.22亿,58.54亿,2.54亿,4627.00万,31.89亿,37.46亿,1698.40万,62.67亿,537.18亿,5.04亿,3.08亿,False,539.14亿,False,71.53亿,467.61亿,467.61亿,441.21亿,26.40亿,400.92亿,,10.06,10.05,-47.12亿,-45.53亿,420.49亿,395.68亿,24.81亿
2023-09-30,,325.16亿,2946.77亿,2644.80亿,311.45亿,269.81亿,,2946.77亿,2946.77亿,2644.80亿,2300.96亿,11.05亿,102.22亿,69.18亿,148.76亿,-18.34亿,23.18亿,56.84亿,28.48亿,2.48亿,2.15亿,21.90亿,13.08亿,1312.42万,44.00亿,370.15亿,4.17亿,2.66亿,False,371.66亿,-100.00,46.50亿,325.16亿,325.16亿,311.45亿,13.71亿,269.81亿,,7.10,7.08,-29.58亿,-29.91亿,295.58亿,281.55亿,14.03亿
2023-06-30,,214.73亿,1892.46亿,1685.30亿,207.17亿,175.53亿,,1892.46亿,1892.46亿,1685.30亿,1483.06亿,6.39亿,67.00亿,45.12亿,98.50亿,-31.59亿,14.50亿,36.28亿,19.03亿,-2.22亿,2.13亿,14.18亿,5.68亿,832.74万,30.02亿,253.57亿,3.00亿,1.88亿,False,254.69亿,False,39.96亿,214.73亿,214.73亿,207.17亿,7.56亿,175.53亿,,4.72,4.71,-18.09亿,-17.92亿,196.65亿,189.25亿,7.39亿
