名次,股东名称,股份类型,持股数,占总股本持股比例,增减,变动比率
1,厦门瑞庭投资有限公司,流通A股,1024704949,22.46,不变,
2,香港中央结算有限公司,流通A股,660844057,14.48,53922852,8.88465448
3,黄世霖,流通A股,466021310,10.21,不变,
4,宁波联合创新新能源投资管理合伙企业(有限合伙),流通A股,284220608,6.23,不变,
5,李平,"流通A股,限售流通A股",197460277,4.33,-4050000,-2.00982305
6,HKSCC NOMINEES LIMITED,流通H股,155907990,3.42,-300,-0.00019242
7,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,流通A股,54859995,1.2,-9157686,-14.30493241
8,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,流通A股,44981592,0.99,-2014950,-4.28744311
9,本田技研工业(中国)投资有限公司,流通A股,41400000,0.91,不变,
10,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,流通A股,32517736,0.71,-1023600,-3.05175679
