报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,一年内到期的非流动资产,其他流动资产,总现金,流动资产合计,非流动资产,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,在建工程合计,其中：在建工程,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,长期应付款合计,其中：长期应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025-09-30,,442.45亿,592.65亿,150.20亿,392.98亿,,,171.33亿,3.82亿,38.45亿,1077.59万,38.35亿,3.19亿,1.97亿,False,False,51.78亿,4058.49万,4.86亿,175.15亿,275.82亿,,1.78亿,2.32亿,False,3230.75万,75.42亿,False,30.26亿,False,63.74亿,114.65亿,6448.54万,14.68亿,5.34亿,316.83亿,592.65亿,,302.13万,False,False,32.71亿,False,32.71亿,15.63万,22.63亿,26.08亿,5.58亿,17.16亿,False,False,False,1.22亿,2.97亿,108.38亿,,408.56万,False,False,4.51亿,7.74亿,1.63亿,6.95亿,41.82亿,150.20亿,,12.12亿,61.02亿,2.11亿,3.72亿,6.08亿,312.14亿,392.98亿,49.47亿,442.45亿,592.65亿
2025-06-30,,440.21亿,587.75亿,147.53亿,390.41亿,,,169.67亿,1.22亿,36.53亿,252.00万,36.50亿,3.03亿,2.12亿,False,2.12亿,53.44亿,4238.64万,5.34亿,170.90亿,271.79亿,,1.69亿,2.36亿,False,3274.32万,73.70亿,73.70亿,28.47亿,28.47亿,65.34亿,115.06亿,5811.02万,15.15亿,6.11亿,315.96亿,587.75亿,,592.76万,False,False,34.78亿,False,34.78亿,46.71万,20.51亿,25.23亿,3.65亿,17.46亿,False,False,17.46亿,1.17亿,3.20亿,106.05亿,,418.74万,False,False,4.72亿,7.98亿,1.57亿,6.52亿,41.48亿,147.53亿,,12.12亿,66.78亿,2.11亿,4.52亿,6.08亿,303.01亿,390.41亿,49.81亿,440.21亿,587.75亿
2025-03-31,,435.58亿,583.65亿,148.07亿,385.90亿,,,177.11亿,False,34.82亿,122.11万,34.81亿,3.00亿,2.25亿,False,False,51.73亿,4432.22万,3.74亿,177.11亿,273.10亿,,1.65亿,2.37亿,False,3317.89万,71.07亿,False,27.50亿,False,65.43亿,112.20亿,5101.08万,15.48亿,6.69亿,310.55亿,583.65亿,,570.94万,False,False,31.34亿,False,31.34亿,193.09万,22.26亿,24.11亿,4.54亿,20.27亿,False,False,False,1.12亿,3.69亿,107.41亿,,33.99万,False,False,4.95亿,8.06亿,1.45亿,5.87亿,40.66亿,148.07亿,,12.12亿,67.35亿,3.38亿,1.25亿,6.08亿,302.48亿,385.90亿,49.68亿,435.58亿,583.65亿
2024-12-31,,407.58亿,566.44亿,158.85亿,358.56亿,,,166.44亿,False,32.26亿,631.55万,32.19亿,2.97亿,2.06亿,False,False,47.57亿,4431.28万,4.72亿,166.44亿,256.47亿,,1.97亿,1.98亿,False,3237.31万,70.86亿,False,26.75亿,False,67.23亿,110.93亿,5301.40万,16.97亿,5.92亿,309.97亿,566.44亿,,539.90万,False,False,27.93亿,False,27.93亿,45.66万,21.66亿,24.47亿,4.28亿,20.53亿,False,False,False,1.15亿,4.20亿,104.27亿,,34.47万,False,False,5.12亿,8.09亿,1.27亿,5.35亿,54.58亿,158.85亿,,12.12亿,67.52亿,3.38亿,150.82万,6.08亿,276.21亿,358.56亿,49.02亿,407.58亿,566.44亿
2024-09-30,,420.14亿,576.01亿,155.88亿,370.94亿,,,172.99亿,3.61亿,36.06亿,218.78万,36.04亿,3.37亿,1.88亿,False,False,48.57亿,4356.39万,4.12亿,176.60亿,271.03亿,,1.38亿,2.39亿,False,4007.23万,64.95亿,False,28.16亿,False,68.08亿,112.06亿,6170.94万,12.73亿,7.27亿,304.98亿,576.01亿,,567.68万,False,False,38.09亿,False,38.09亿,134.52万,17.21亿,30.38亿,6.84亿,18.04亿,False,False,False,1.16亿,3.81亿,115.59亿,,37.63万,False,False,5.11亿,8.39亿,1.21亿,5.57亿,40.29亿,155.88亿,,12.12亿,69.38亿,3.25亿,8419.24万,6.08亿,285.76亿,370.94亿,49.20亿,420.14亿,576.01亿
2024-06-30,,436.53亿,606.26亿,169.73亿,388.48亿,,,205.99亿,1.89亿,40.25亿,6876.85万,39.56亿,3.24亿,2.53亿,False,2.53亿,45.20亿,4113.07万,3.78亿,207.87亿,303.27亿,,1.38亿,2.46亿,False,4054.36万,64.34亿,64.34亿,26.02亿,26.02亿,66.50亿,111.47亿,7029.90万,12.80亿,10.62亿,302.99亿,606.26亿,,348.45万,False,False,38.80亿,False,38.80亿,438.37万,20.83亿,33.33亿,10.08亿,20.75亿,False,1.00亿,19.75亿,1.10亿,4.10亿,129.05亿,,38.55万,False,False,5.22亿,8.61亿,1.32亿,5.57亿,40.68亿,169.73亿,,12.12亿,69.09亿,3.28亿,2421.43万,6.08亿,304.22亿,388.48亿,48.05亿,436.53亿,606.26亿
2024-03-31,,364.31亿,508.33亿,144.02亿,361.74亿,,,211.94亿,False,36.98亿,4821.02万,36.50亿,2.51亿,2.80亿,False,False,39.58亿,4068.89万,3.25亿,211.94亿,297.48亿,,6346.47万,1.33亿,13.97亿,4101.48万,57.41亿,False,23.87亿,False,22.21亿,49.77亿,6767.96万,11.80亿,22.82亿,210.85亿,508.33亿,,490.91万,False,False,28.32亿,False,28.32亿,387.57万,20.61亿,29.94亿,8.25亿,18.59亿,False,False,False,1.01亿,3.90亿,110.71亿,,97.39万,False,False,5.02亿,1.71亿,1.17亿,5.69亿,33.31亿,144.02亿,,12.12亿,71.30亿,6.63亿,4732.80万,6.08亿,278.40亿,361.74亿,2.56亿,364.31亿,508.33亿
2023-12-31,,333.46亿,479.40亿,145.94亿,330.85亿,,,187.87亿,False,32.97亿,170.49万,32.95亿,2.68亿,1.95亿,False,1.95亿,39.79亿,4162.76万,3.08亿,187.87亿,268.75亿,,6656.34万,1.43亿,12.71亿,4148.61万,54.90亿,54.90亿,24.61亿,24.61亿,22.25亿,50.62亿,7487.92万,13.13亿,22.94亿,210.65亿,479.40亿,,774.62万,False,False,26.90亿,False,26.90亿,79.34万,19.73亿,22.67亿,6.53亿,20.41亿,False,False,20.41亿,1.05亿,3.65亿,101.03亿,,138.11万,False,False,5.13亿,1.68亿,1.09亿,5.75亿,44.91亿,145.94亿,,12.12亿,70.91亿,6.63亿,1.57亿,6.08亿,246.80亿,330.85亿,2.61亿,333.46亿,479.40亿
2023-09-30,,368.21亿,499.93亿,131.71亿,368.21亿,,,196.67亿,False,36.72亿,5111.74万,36.21亿,3.13亿,1.87亿,False,False,40.27亿,3862.98万,3.56亿,196.67亿,282.61亿,,6709.34万,1.64亿,12.49亿,4195.74万,52.62亿,False,20.64亿,False,20.34亿,45.07亿,7659.93万,8.27亿,48.81亿,217.32亿,499.93亿,,False,False,False,25.72亿,False,25.72亿,158.94万,18.89亿,26.64亿,8.53亿,16.68亿,False,False,False,9972.70万,3.85亿,101.33亿,,False,False,False,2.74亿,1.66亿,1.00亿,1.89亿,30.39亿,131.71亿,,12.12亿,74.43亿,6.71亿,9005.24万,6.08亿,281.40亿,368.21亿,False,368.21亿,499.93亿
2023-06-30,,335.03亿,475.41亿,140.37亿,335.03亿,,,202.00亿,False,37.07亿,141.74万,37.05亿,3.22亿,1.86亿,False,1.86亿,44.26亿,3643.06万,3.33亿,202.00亿,292.10亿,,6510.22万,1.65亿,11.05亿,4242.86万,48.05亿,48.05亿,17.99亿,17.99亿,19.83亿,46.37亿,7210.01万,7.75亿,22.82亿,183.31亿,475.41亿,,False,False,False,30.02亿,False,30.02亿,1.56万,24.95亿,25.39亿,7.48亿,17.13亿,False,False,17.13亿,1.01亿,4.14亿,110.13亿,,False,False,False,2.70亿,1.77亿,1.00亿,1.97亿,30.25亿,140.37亿,,12.12亿,73.94亿,6.71亿,2.13亿,6.08亿,247.47亿,335.03亿,False,335.03亿,475.41亿
