报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2025-09-30,,21.62亿,72.73亿,-1.26亿,-49.29亿,170.69亿,,,275.70亿,7.48亿,7.84亿,291.01亿,102.87亿,70.22亿,24.25亿,20.94亿,218.28亿,72.73亿,,17.81亿,474.48万,3764.80万,False,16.74亿,34.97亿,15.27亿,20.96亿,False,False,36.23亿,-1.26亿,,2977.69万,2977.69万,470.99万,8871.99万,1.23亿,468.40万,41.06亿,1.28亿,9.42亿,50.53亿,-49.29亿,-5582.61万,21.62亿,149.08亿,170.69亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2025-06-30,,19.80亿,39.22亿,6.31亿,-26.09亿,168.88亿,,,177.18亿,4.81亿,6.11亿,188.10亿,65.53亿,51.87亿,17.25亿,14.23亿,148.88亿,39.22亿,,12.60亿,299.88万,3347.52万,False,16.74亿,29.70亿,10.17亿,13.22亿,False,False,23.39亿,6.31亿,,2087.40万,2087.40万,417.47万,8121.99万,1.06亿,118.79万,25.17亿,1.28亿,1.97亿,27.15亿,-26.09亿,3577.19万,19.80亿,149.08亿,168.88亿,,,52.33亿,2.29亿,4.26亿,4.23亿,1247.59万,-73.66万,-25.05万,-1.33亿,-1.01亿,1.83亿,-1948.19万,-6.00亿,-5.96亿,-10.07亿,-1.27亿,39.22亿,,,168.88亿,149.08亿,19.80亿
2025-03-31,,10.47亿,14.94亿,-4.33亿,-3025.12万,159.55亿,,,87.32亿,2.51亿,4.53亿,94.36亿,31.47亿,34.00亿,7.53亿,6.42亿,79.42亿,14.94亿,,7.45亿,156.63万,287.64万,False,False,7.49亿,4.97亿,6.85亿,False,False,11.82亿,-4.33亿,,False,False,5.21万,False,5.21万,68.59万,16.14万,False,2945.60万,3030.33万,-3025.12万,1629.89万,10.47亿,149.08亿,159.55亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-12-31,,-37.61亿,124.32亿,-73.83亿,-88.82亿,149.08亿,,,401.43亿,10.06亿,8.01亿,419.49亿,146.86亿,81.19亿,42.99亿,24.14亿,295.17亿,124.32亿,,13.24亿,536.09万,3073.61万,False,1.42亿,15.02亿,19.59亿,11.12亿,57.73亿,3971.20万,88.85亿,-73.83亿,,7853.35万,7853.35万,264.34万,5054.59万,1.32亿,550.04万,88.43亿,1.01亿,1.65亿,90.13亿,-88.82亿,7218.94万,-37.61亿,186.68亿,149.08亿,,,117.40亿,5.37亿,7.56亿,7.13亿,3441.72万,-424.38万,-1.26亿,9739.92万,-6939.01万,-3.74亿,-6656.42万,-7.82亿,-3.47亿,4.02亿,-7885.25万,124.32亿,,,149.08亿,186.68亿,-37.61亿
2024-09-30,,-30.85亿,110.73亿,-72.10亿,-68.59亿,155.83亿,,,315.78亿,8.67亿,6.17亿,330.61亿,103.80亿,64.29亿,32.98亿,18.82亿,219.88亿,110.73亿,,5.93亿,279.90万,1475.71万,False,1.41亿,7.52亿,14.18亿,7.31亿,57.73亿,3971.20万,79.62亿,-72.10亿,,6975.90万,6975.90万,241.23万,3803.63万,1.10亿,511.23万,68.42亿,1.01亿,1.22亿,69.69亿,-68.59亿,-8962.87万,-30.85亿,186.68亿,155.83亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-06-30,,9811.56万,84.96亿,-66.30亿,-17.90亿,187.67亿,,,218.02亿,5.00亿,4.48亿,227.50亿,63.30亿,46.47亿,20.01亿,12.78亿,142.55亿,84.96亿,,1.83亿,113.87万,694.86万,False,False,1.91亿,9.11亿,1.49亿,57.21亿,3971.20万,68.21亿,-66.30亿,,6975.90万,6975.90万,False,3795.50万,1.08亿,470.93万,18.19亿,False,7338.43万,18.97亿,-17.90亿,2207.69万,9811.56万,186.68亿,187.67亿,,,75.76亿,2.25亿,3.55亿,2.99亿,1658.15万,-354.05万,-1.26亿,-1210.09万,-6343.90万,4597.04万,-1982.81万,-2.39亿,-9.17亿,12.52亿,1.07亿,84.96亿,,,187.67亿,186.68亿,9811.56万
2024-03-31,,24.17亿,28.65亿,-4.01亿,-4027.06万,210.85亿,,,99.30亿,2.16亿,2.50亿,103.95亿,31.01亿,30.61亿,7.18亿,6.51亿,75.31亿,28.65亿,,False,False,229.23万,False,False,229.23万,4.02亿,106.32万,False,False,4.03亿,-4.01亿,,False,False,False,32.59万,32.59万,285.83万,16.18万,False,3757.66万,4059.66万,-4027.06万,-650.58万,24.17亿,186.68亿,210.85亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-12-31,,-3.05亿,110.62亿,-6.93亿,-107.76亿,186.68亿,,,352.49亿,9.66亿,9.63亿,371.78亿,124.85亿,70.16亿,40.66亿,25.48亿,261.16亿,110.62亿,,False,32.88万,2166.49万,False,67.71亿,67.93亿,26.89亿,13.12亿,8.71亿,26.15亿,74.86亿,-6.93亿,,7874.84万,7874.84万,False,36.85万,7911.69万,1876.56万,106.70亿,False,1.66亿,108.55亿,-107.76亿,1.01亿,-3.05亿,189.74亿,186.68亿,,,115.78亿,7.74亿,6.26亿,3.84亿,2916.02万,-246.46万,-7940.18万,-2.17亿,984.09万,-5.59亿,-8360.05万,-2.01亿,-6.81亿,-7.69亿,2.54亿,110.62亿,,,186.68亿,189.74亿,-3.05亿
2023-09-30,,-24.37亿,77.71亿,-47.91亿,-55.93亿,165.36亿,,,264.96亿,7.70亿,6.77亿,279.43亿,96.39亿,56.49亿,30.74亿,18.10亿,201.72亿,77.71亿,,False,32.88万,1328.01万,False,11.05亿,11.19亿,19.83亿,13.12亿,False,26.15亿,59.10亿,-47.91亿,,False,False,False,30.71万,30.71万,False,54.56亿,False,1.37亿,55.93亿,-55.93亿,1.76亿,-24.37亿,189.74亿,165.36亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-06-30,,-29.87亿,44.83亿,-21.79亿,-55.54亿,159.87亿,,,174.43亿,5.70亿,3.73亿,183.86亿,63.40亿,42.47亿,20.84亿,12.33亿,139.03亿,44.83亿,,False,False,624.85万,False,7000.00万,7624.85万,10.63亿,11.92亿,False,False,22.55亿,-21.79亿,,False,False,False,29.20万,29.20万,False,54.56亿,False,9807.02万,55.54亿,-55.54亿,2.63亿,-29.87亿,189.74亿,159.87亿,,,64.43亿,1.34亿,3.04亿,1.84亿,1446.84万,11.36万,-3317.62万,-3.35亿,179.79万,-2106.09万,-577.94万,-4.92亿,-12.52亿,-6.53亿,1.94亿,44.83亿,,,159.87亿,189.74亿,-29.87亿
