代码,简称,公告标题,公告时间,公告
300760,迈瑞医疗,关于控股股东部分股份质押和解除质押的公告,2024-11-26 18:22:13,"证券代码：300760              证券简称：迈瑞医疗            公告编号：2024-051 
 
深圳迈瑞生物医疗电子股份有限公司 
关于控股股东部分股份质押和解除质押的公告 
 
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、
误导性陈述或重大遗漏。 
 
深圳迈瑞生物医疗电子股份有限公司（以下简称“公司”）于近日接到公司控股股东
Magnifice（HK）Limited（以下简称“Magnifice（HK）”）的通知，获悉其对所持有的公
司部分股份办理了质押和解除质押业务，现将具体内容公告如下： 
一、股东股份质押的基本情况 
股东名称 
是否为控
股股东或
第一大股
东及其一
致行动人 
本次质押
数量
（股） 
占其
所持
股份
比例 
占公
司总
股本
比例 
是否
为限
售股 
是否
为补
充质
押 
质押起
始日 
质押到
期日 
质权人 
质押 
用途 
Magnifice
（HK） 
是 
5,200,000 
1.75% 
0.43% 
否 
否 
2024 年
11 月26
日 
至办理
解除质
押登记
手续之
日止 
招商永隆
银行有限
公司 
偿还
债务 
注：本次质押股份不存在负担重大资产重组等业绩补偿义务。 
二、股东股份解除质押的基本情况 
股东名称 
是否为控股
股东或第一
大股东及其
一致行动人 
本次解除质
押股份数量
（股） 
占其所持股
份比例 
占公司总股
本比例 
起始日 
解除日期 
质权人 
Magnifice
（HK） 
是 
6,800,000 
2.29% 
0.56% 
2023 年11
月14 日 
2024 年11
月26 日 
招商永隆银
行有限公司 
7,350,000 
2.48% 
0.61% 
2024 年11
月5 日 
2024 年11
月26 日 
平安银行股
份有限公司
深圳分行 
合  计 
 
 14,150,000 
4.77% 
1.17%
三、股东股份累计质押情况 
截至公告披露日，上述股东及其一致行动人所持质押股份情况如下： 
股东名称 
持股 
数量
（股） 
持股 
比例 
本次质
押及解
除质押
前的质
押股份
数量
（股） 
本次质
押及解
除质押
后的质
押股份
数量
（股） 
占其所
持股份
比例 
占公
司总
股本
比例 
已质押股份情况 
未质押股份情况 
已质押
股份限
售和冻
结、标
记数量
（股） 
占已
质押
股份
比例 
未质押股
份限售和
冻结数量
（股） 
占未
质押
股份
比例 
Smartco 
Development 
327,072,
335 
26.98% 
0 
0 
0% 
0% 
0 
0% 
0 
0% 
Magnifice
（HK） 
296,951,
000 
24.49% 
53,120,
000 
44,170,
000 
14.87% 
3.64% 
0 
0% 
0 
0% 
合  计 
624,023,
335 
51.47% 
53,120,
000 
44,170,
000 
7.08% 
3.64% 
0 
0% 
0 
0% 
四、上述质押的股份被冻结、拍卖或设定信托基本情况 
上述质押的股份不存在冻结、拍卖或设定信托的情况。 
五、上述质押的股份是否出现平仓风险 
上述质押的股份目前不存在平仓风险。若后续出现平仓风险，上述股东将积极采取措
施应对，公司将按规定及时履行信息披露义务。 
六、备查文件 
1、股票质押合同； 
2、股份质押登记证明； 
3、解除证券质押登记通知 
 
特此公告。 
 
深圳迈瑞生物医疗电子股份有限公司董事会 
2024 年11 月26 日"
300760,迈瑞医疗,关于控股股东部分股份质押和解除质押的公告,2024-11-06 18:12:13,"证券代码：300760              证券简称：迈瑞医疗            公告编号：2024-050 
 
深圳迈瑞生物医疗电子股份有限公司 
关于控股股东部分股份质押和解除质押的公告 
 
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、
误导性陈述或重大遗漏。 
 
深圳迈瑞生物医疗电子股份有限公司（以下简称“公司”）于近日接到公司控股股东
Magnifice（HK）Limited（以下简称“Magnifice（HK）”）的通知，获悉其对所持有的公
司部分股份办理了质押和解除质押业务，现将具体内容公告如下： 
一、股东股份质押的基本情况 
股东名称 
是否为控
股股东或
第一大股
东及其一
致行动人 
本次质押
数量
（股） 
占其
所持
股份
比例 
占公
司总
股本
比例 
是否
为限
售股 
是否
为补
充质
押 
质押起
始日 
质押到
期日 
质权人 
质押 
