报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,减：营业外支出,四、利润总额,净利润差额(合计平衡项目),减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-09-30,,78.14亿,258.34亿,174.15亿,75.70亿,74.63亿,,258.34亿,258.34亿,174.15亿,98.29亿,3.03亿,37.35亿,10.47亿,24.35亿,-2.93亿,1675.14万,3.58亿,2.03亿,1.56亿,66.99万,1.11亿,1492.11万,989.29万,4.07亿,89.47亿,1891.16万,6471.18万,89.02亿,False,10.88亿,78.14亿,78.14亿,75.70亿,2.44亿,74.63亿,,6.25,6.25,3.99亿,3.68亿,82.13亿,79.38亿,2.75亿
2025-06-30,,52.33亿,167.43亿,112.22亿,50.69亿,49.49亿,,167.43亿,167.43亿,112.22亿,64.18亿,1.98亿,24.24亿,6.82亿,16.07亿,-3.36亿,1030.04万,2.36亿,1.09亿,1.21亿,25.05万,1.01亿,625.33万,73.66万,3.00亿,59.22亿,1260.72万,1810.72万,59.17亿,False,6.84亿,52.33亿,52.33亿,50.69亿,1.64亿,49.49亿,,4.18,4.18,4.80亿,4.49亿,57.12亿,55.18亿,1.94亿
2025-03-31,,26.93亿,82.37亿,54.57亿,26.29亿,25.31亿,,82.37亿,82.37亿,54.57亿,30.87亿,1.02亿,11.78亿,3.42亿,7.67亿,-1.62亿,498.77万,1.14亿,4289.01万,1.01亿,False,9608.43万,282.32万,-108.05万,1.73亿,30.48亿,990.24万,375.73万,30.54亿,False,3.62亿,26.93亿,26.93亿,26.29亿,6397.05万,25.31亿,,2.17,2.17,1.28亿,1.22亿,28.20亿,27.51亿,6950.72万
2024-12-31,,117.40亿,367.26亿,246.34亿,116.68亿,114.42亿,,367.26亿,367.26亿,246.34亿,135.48亿,4.01亿,52.83亿,16.00亿,36.66亿,-4.00亿,1941.36万,5.57亿,2.38亿,3.00亿,1.26亿,6939.01万,-1181.21万,424.38万,8.20亿,131.12亿,3676.28万,1.29亿,130.20亿,False,12.80亿,117.40亿,117.40亿,116.68亿,7147.95万,114.42亿,,9.64,9.63,-1.90亿,-1.57亿,115.50亿,115.11亿,3816.49万
2024-09-30,,107.03亿,294.85亿,182.17亿,106.37亿,104.37亿,,294.85亿,294.85亿,182.17亿,103.59亿,3.15亿,36.65亿,11.19亿,25.92亿,-1.82亿,1419.73万,4.34亿,1.61亿,1.88亿,1.27亿,6421.72万,-1422.74万,793.20万,6.28亿,120.95亿,2948.18万,7423.12万,120.51亿,False,13.48亿,107.03亿,107.03亿,106.37亿,6557.46万,104.37亿,,8.78,8.78,-6948.41万,-7307.79万,106.33亿,105.64亿,6916.84万
2024-06-30,,75.76亿,205.31亿,126.16亿,75.61亿,73.80亿,,205.31亿,205.31亿,126.16亿,72.86亿,2.22亿,25.78亿,8.23亿,17.75亿,-2.93亿,913.12万,3.16亿,9113.97万,1.34亿,1.26亿,6343.90万,-1411.43万,354.05万,4.72亿,85.80亿,1556.30万,5420.78万,85.42亿,False,9.66亿,75.76亿,75.76亿,75.61亿,1520.08万,73.80亿,,6.24,6.24,-1.35亿,-1.33亿,74.41亿,74.28亿,1298.22万
2024-03-31,,31.62亿,93.73亿,61.83亿,31.60亿,30.37亿,,93.73亿,93.73亿,61.83亿,33.57亿,1.01亿,13.19亿,4.73亿,9.47亿,-1.24亿,446.51万,1.90亿,4344.90万,6641.33万,1.26亿,-309.87万,-309.87万,-31.62万,2.60亿,35.72亿,747.50万,2203.87万,35.58亿,False,3.96亿,31.62亿,31.62亿,31.60亿,189.21万,30.37亿,,2.61,2.61,-1.16亿,-1.10亿,30.46亿,30.50亿,-442.81万
2023-12-31,,115.78亿,349.32亿,227.65亿,115.82亿,114.34亿,,349.32亿,349.32亿,227.65亿,125.13亿,3.66亿,50.10亿,15.24亿,34.33亿,-8.55亿,1299.69万,8.22亿,5.30亿,2.44亿,7940.18万,-984.09万,-981.69万,246.46万,8.31亿,130.70亿,5634.79万,1.15亿,130.11亿,False,14.33亿,115.78亿,115.78亿,115.82亿,-381.27万,114.34亿,,9.56,9.56,2.73亿,2.72亿,118.51亿,118.54亿,-262.73万
2023-09-30,,98.36亿,273.04亿,167.29亿,98.34亿,96.86亿,,273.04亿,273.04亿,167.29亿,97.87亿,2.88亿,34.54亿,11.16亿,25.09亿,-6.05亿,881.80万,5.26亿,1.20亿,6041.53万,6083.70万,-495.05万,-502.39万,431.98万,5.65亿,112.01亿,3612.91万,4983.76万,111.87亿,False,13.51亿,98.36亿,98.36亿,98.34亿,122.17万,96.86亿,,8.12,8.12,1.99亿,1.99亿,100.35亿,100.33亿,122.17万
2023-06-30,,64.43亿,184.76亿,115.85亿,64.42亿,63.41亿,,184.76亿,184.76亿,115.85亿,63.56亿,1.85亿,28.35亿,7.96亿,18.51亿,-5.72亿,554.51万,2.92亿,7685.37万,5686.85万,3317.62万,-179.79万,-154.25万,-11.36万,4.08亿,73.30亿,1817.70万,3835.36万,73.10亿,False,8.67亿,64.43亿,64.43亿,64.42亿,122.17万,63.41亿,,5.32,5.32,3.22亿,3.22亿,67.65亿,67.64亿,122.17万
2023-03-31,,25.72亿,83.64亿,56.63亿,25.71亿,25.29亿,,83.64亿,83.64亿,56.63亿,28.11亿,8467.17万,13.74亿,4.57亿,8.52亿,-587.63万,260.09万,1.38亿,4255.60万,4732.00万,False,-109.13万,-109.13万,-59.43万,2.00亿,29.00亿,907.44万,2115.87万,28.88亿,False,3.15亿,25.72亿,25.72亿,25.71亿,122.17万,25.29亿,,2.13,2.12,513.64万,513.64万,25.77亿,25.76亿,122.17万
2022-12-31,,96.11亿,303.66亿,199.35亿,96.07亿,95.25亿,,303.66亿,303.66亿,199.35亿,108.85亿,3.48亿,48.02亿,13.20亿,29.23亿,-4.51亿,1068.68万,3.58亿,7109.41万,3681.42万,-2137.82万,-506.14万,-469.79万,616.43万,5.80亿,109.91亿,3528.31万,7224.75万,109.54亿,False,13.43亿,96.11亿,96.11亿,96.07亿,354.27万,95.25亿,,7.94,7.94,3.01亿,3.01亿,99.11亿,99.08亿,354.27万
2022-09-30,,81.06亿,232.96亿,144.96亿,81.02亿,80.04亿,,232.96亿,232.96亿,144.96亿,83.16亿,2.54亿,33.30亿,9.31亿,20.87亿,-4.82亿,762.11万,2.53亿,4826.73万,1024.65万,-2137.82万,-397.72万,-397.72万,607.60万,4.38亿,92.19亿,2795.62万,1877.44万,92.28亿,False,11.22亿,81.06亿,81.06亿,81.02亿,345.07万,80.04亿,,6.70,6.70,1.25亿,1.25亿,82.31亿,82.27亿,345.07万
2022-06-30,,52.90亿,153.56亿,95.99亿,52.88亿,52.47亿,,153.56亿,153.56亿,95.99亿,55.08亿,1.58亿,21.52亿,6.19亿,13.50亿,-2.23亿,481.37万,1.74亿,2851.75万,669.51万,-2137.82万,-257.60万,-257.60万,76.44万,2.72亿,60.05亿,1601.73万,1305.93万,60.08亿,False,7.18亿,52.90亿,52.90亿,52.88亿,263.25万,52.47亿,,4.37,4.37,3142.44万,3142.44万,53.22亿,53.19亿,263.25万
2022-03-31,,21.07亿,69.43亿,46.56亿,21.05亿,20.72亿,,69.43亿,69.43亿,46.56亿,24.23亿,7944.93万,10.73亿,3.58亿,7.04亿,-768.09万,225.87万,8859.80万,2050.38万,503.06万,782.54万,-117.25万,-117.25万,-665.93万,1.14亿,24.02亿,511.24万,94.20万,24.06亿,False,2.99亿,21.07亿,21.07亿,21.05亿,190.08万,20.72亿,,1.74,1.74,-8152.07万,-8152.07万,20.25亿,20.24亿,190.08万
2021-12-31,,80.04亿,252.70亿,167.93亿,80.02亿,78.50亿,,252.70亿,252.70亿,167.93亿,88.43亿,2.82亿,39.99亿,11.06亿,25.24亿,-8597.34万,863.42万,4.07亿,1.32亿,-581.40万,987.88万,81.15万,81.15万,406.59万,5.75亿,90.66亿,2324.09万,7187.31万,90.17亿,False,10.13亿,80.04亿,80.04亿,80.02亿,249.23万,78.50亿,,6.59,6.59,-2.87亿,-2.87亿,77.17亿,77.14亿,249.23万
2021-09-30,,66.65亿,193.92亿,122.11亿,66.63亿,65.44亿,,193.92亿,193.92亿,122.11亿,66.70亿,2.15亿,28.44亿,8.44亿,16.29亿,-8598.30万,626.00万,3.14亿,6642.17万,2842.58万,-443.61万,-208.95万,-208.95万,285.13万,4.18亿,75.95亿,1675.67万,2851.96万,75.83亿,False,9.18亿,66.65亿,66.65亿,66.63亿,244.35万,65.44亿,,5.48,5.48,-1.01亿,-1.01亿,65.65亿,65.62亿,244.35万
2021-06-30,,43.46亿,127.78亿,80.81亿,43.44亿,43.09亿,,127.78亿,127.78亿,80.81亿,43.99亿,1.37亿,18.75亿,5.90亿,10.61亿,-4305.33万,417.48万,2.23亿,3659.28万,2373.33万,-675.08万,-152.83万,-152.83万,158.48万,2.31亿,49.22亿,1138.72万,1756.00万,49.16亿,False,5.71亿,43.46亿,43.46亿,43.44亿,107.12万,43.09亿,,3.57,3.57,-2796.28万,-2796.28万,43.18亿,43.16亿,107.12万
2021-03-31,,17.16亿,57.81亿,39.77亿,17.15亿,16.96亿,,57.81亿,57.81亿,39.77亿,20.22亿,6025.78万,9.52亿,3.25亿,5.88亿,3200.99万,168.21万,1.01亿,433.78万,-567.71万,False,-189.80万,-189.80万,28.59万,1.03亿,19.05亿,337.81万,591.81万,19.03亿,False,1.87亿,17.16亿,17.16亿,17.15亿,49.61万,16.96亿,,1.41,1.41,776.01万,776.01万,17.23亿,17.23亿,49.61万
2020-12-31,,66.60亿,210.26亿,140.41亿,66.58亿,65.40亿,,210.26亿,210.26亿,140.41亿,73.66亿,2.18亿,36.12亿,8.97亿,18.69亿,-6142.08万,False,3.86亿,1.10亿,2968.52万,False,-447.15万,-447.15万,-206.74万,4.76亿,74.55亿,5367.32万,7039.30万,74.38亿,False,7.79亿,66.60亿,66.60亿,66.58亿,192.72万,65.40亿,,5.48,5.48,-1.21亿,-1.21亿,65.38亿,65.36亿,192.72万
2020-09-30,,53.64亿,160.64亿,104.13亿,53.63亿,52.65亿,,160.64亿,160.64亿,104.13亿,53.27亿,1.56亿,28.28亿,6.96亿,13.51亿,-8217.16万,False,2.41亿,9486.06万,4261.89万,False,-121.05万,-121.05万,-104.09万,3.56亿,60.05亿,4733.01万,3475.99万,60.17亿,False,6.53亿,53.64亿,53.64亿,53.63亿,112.74万,52.65亿,,4.41,4.41,-5024.65万,-5024.65万,53.14亿,53.13亿,112.74万
2020-06-30,,34.54亿,105.64亿,69.30亿,34.54亿,33.66亿,,105.64亿,105.64亿,69.30亿,35.96亿,9298.59万,19.15亿,4.74亿,9.03亿,-1.50亿,False,1.37亿,6359.11万,3516.25万,False,-51.59万,-51.59万,-66.29万,2.75亿,39.09亿,3554.28万,1689.81万,39.27亿,False,4.73亿,34.54亿,34.54亿,34.54亿,29.15万,33.66亿,,2.84,2.84,1181.49万,1181.49万,34.66亿,34.65亿,29.15万
2020-03-31,,13.14亿,47.41亿,34.14亿,13.13亿,12.53亿,,47.41亿,47.41亿,34.14亿,16.82亿,4911.48万,9.50亿,2.72亿,4.82亿,-4763.90万,False,7025.92万,1710.29万,1045.80万,False,-10.41万,-10.41万,1.31万,1.44亿,14.71亿,2169.00万,1214.35万,14.81亿,False,1.67亿,13.14亿,13.14亿,13.13亿,49.59万,12.53亿,,1.08,1.08,703.36万,703.36万,13.21亿,13.20亿,49.59万
